Identifier,Response,Time Taken,Input Tokens,Reasoning Tokens,Output Tokens,Reasoning Effort,Successful,Error Log,Web Search Sources,Cost,Batch,Pair,IdA,IdB
aabd6897,,,23783,,,,False,['Connection error.'],,0.00118915,0,11,CBA_17,CBA_19
370280b0,,,56475,,,,False,['Connection error.'],,0.00282375,0,14,CBA_09,CBA_19
11087cd9,,,38779,,,,False,['Connection error.'],,0.00193895,0,13,CBA_04,CBA_20
13cfe8c9,,,50119,,,,False,['Connection error.'],,0.00250595,0,1,CBA_01,CBA_15
d6226c73,,,49665,,,,False,['Connection error.'],,0.00248325,0,15,CBA_10,CBA_14
9e049ea2,,,44397,,,,False,['Connection error.'],,0.00221985,0,19,CBA_10,CBA_17
9d3d07eb,,,32211,,,,False,['Connection error.'],,0.0016105499999999999,0,4,CBA_03,CBA_20
78de20ae,,,40194,,,,False,['Connection error.'],,0.0020097,0,25,CBA_06,CBA_13
d8e0cbeb,,,41585,,,,False,['Connection error.'],,0.00207925,0,10,CBA_13,CBA_15
e4bbf246,,,77089,,,,False,['Connection error.'],,0.0038544500000000006,0,23,CBA_09,CBA_10
30f3ab30,,,53943,,,,False,['Connection error.'],,0.00269715,0,17,CBA_02,CBA_18
077038f1,,,19691,,,,False,['Connection error.'],,0.00098455,0,22,CBA_08,CBA_20
dcd70c4d,,,49245,,,,False,['Connection error.'],,0.00246225,0,28,CBA_11,CBA_12
63c4b7a5,,,64538,,,,False,['Connection error.'],,0.0032269,0,7,CBA_02,CBA_11
e9e2dd88,,,65476,,,,False,['Connection error.'],,0.0032738000000000003,0,5,CBA_07,CBA_09
0c34e3cd,,,65687,,,,False,['Connection error.'],,0.00328435,0,12,CBA_01,CBA_16
0978e3ad,,,22242,,,,False,['Connection error.'],,0.0011121000000000002,0,6,CBA_13,CBA_18
6719870f,,,59031,,,,False,['Connection error.'],,0.0029515500000000003,0,3,CBA_15,CBA_16
c1c4ba6e,,,70973,,,,False,['Connection error.'],,0.00354865,0,26,CBA_04,CBA_12
ee5bc72c,,,34047,,,,False,['Connection error.'],,0.00170235,0,8,CBA_14,CBA_17
c4e366d0,,,61359,,,,False,['Connection error.'],,0.00306795,0,24,CBA_05,CBA_11
a29c150f,,,46538,,,,False,['Connection error.'],,0.0023269000000000002,0,29,CBA_03,CBA_07
47103241,,,29051,,,,False,['Connection error.'],,0.0014525500000000002,0,16,CBA_14,CBA_19
29309452,,,18012,,,,False,['Connection error.'],,0.0009006000000000001,0,9,CBA_08,CBA_18
49c38754,,,62855,,,,False,['Connection error.'],,0.0031427499999999997,0,20,CBA_03,CBA_04
5d52523f,,,63999,,,,False,['Connection error.'],,0.00319995,0,18,CBA_05,CBA_08
c48e8cc8,,,48728,,,,False,['Connection error.'],,0.0024364,0,0,CBA_01,CBA_06
7bef006c,,,85675,,,,False,['Connection error.'],,0.00428375,0,2,CBA_05,CBA_16
4e06ffe0,,,71895,,,,False,['Connection error.'],,0.0035947500000000003,0,21,CBA_02,CBA_06
95d97e7d,,,54656,,,,False,['Connection error.'],,0.0027328000000000005,0,27,CBA_07,CBA_12
