Identifier,Response,Time Taken,Input Tokens,Reasoning Tokens,Output Tokens,Reasoning Effort,Successful,Error Log,Web Search Sources,Cost,Batch,Pair,IdA,IdB
c9d630f5,,,71890,,,,False,['Connection error.'],,0.0035945,0,21,CBA_02,CBA_06
d44a68b8,,,48723,,,,False,['Connection error.'],,0.00243615,0,0,CBA_01,CBA_06
8f9b8cd9,,,34042,,,,False,['Connection error.'],,0.0017021000000000002,0,8,CBA_14,CBA_17
2d6b0d8e,,,62850,,,,False,['Connection error.'],,0.0031425000000000003,0,20,CBA_03,CBA_04
e0051e9b,,,49660,,,,False,['Connection error.'],,0.0024830000000000004,0,15,CBA_10,CBA_14
382be20e,,,18007,,,,False,['Connection error.'],,0.00090035,0,9,CBA_08,CBA_18
2ac5367d,,,70968,,,,False,['Connection error.'],,0.0035484,0,26,CBA_04,CBA_12
1c70e3d8,,,40189,,,,False,['Connection error.'],,0.0020094500000000003,0,25,CBA_06,CBA_13
83c1b43a,,,46533,,,,False,['Connection error.'],,0.00232665,0,29,CBA_03,CBA_07
52f64f72,,,85670,,,,False,['Connection error.'],,0.0042835,0,2,CBA_05,CBA_16
87ab8a81,,,65471,,,,False,['Connection error.'],,0.00327355,0,5,CBA_07,CBA_09
792bfd9b,,,53938,,,,False,['Connection error.'],,0.0026969000000000003,0,17,CBA_02,CBA_18
9ffbbc49,,,49240,,,,False,['Connection error.'],,0.002462,0,28,CBA_11,CBA_12
d59d419e,,,19686,,,,False,['Connection error.'],,0.0009843,0,22,CBA_08,CBA_20
c57ab5ba,,,63994,,,,False,['Connection error.'],,0.0031996999999999998,0,18,CBA_05,CBA_08
e2aeeec6,,,54651,,,,False,['Connection error.'],,0.0027325500000000003,0,27,CBA_07,CBA_12
ec10cb2c,,,77084,,,,False,['Connection error.'],,0.0038542000000000003,0,23,CBA_09,CBA_10
6a0a72df,,,64533,,,,False,['Connection error.'],,0.0032266499999999997,0,7,CBA_02,CBA_11
4e178181,,,56470,,,,False,['Connection error.'],,0.0028235,0,14,CBA_09,CBA_19
835c3772,,,29046,,,,False,['Connection error.'],,0.0014523000000000001,0,16,CBA_14,CBA_19
9e2c76b5,,,50114,,,,False,['Connection error.'],,0.0025057,0,1,CBA_01,CBA_15
5f035018,,,22237,,,,False,['Connection error.'],,0.00111185,0,6,CBA_13,CBA_18
0b4f885f,,,32206,,,,False,['Connection error.'],,0.0016103,0,4,CBA_03,CBA_20
5e81518a,,,44392,,,,False,['Connection error.'],,0.0022196,0,19,CBA_10,CBA_17
a2e918a7,,,41580,,,,False,['Connection error.'],,0.002079,0,10,CBA_13,CBA_15
0189e830,,,38774,,,,False,['Connection error.'],,0.0019387000000000002,0,13,CBA_04,CBA_20
1214b4d8,,,65682,,,,False,['Connection error.'],,0.0032841000000000003,0,12,CBA_01,CBA_16
8d5bb990,,,59026,,,,False,['Connection error.'],,0.0029513000000000005,0,3,CBA_15,CBA_16
7b6236fc,,,23778,,,,False,['Connection error.'],,0.0011889000000000001,0,11,CBA_17,CBA_19
a75e6c35,,,61354,,,,False,['Connection error.'],,0.0030677,0,24,CBA_05,CBA_11
