## WAGE RATES EFFECTIVE OCTOBER 7, 2001
## STRUCTURE AB1

| Job Title | START | 1 YEAR | 2 YEARS | 3 YEARS | 4 YEARS | 5 YEARS | 6 YEARS |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| OCCUPTIONL THEP ASST I CERT | 18.4464 | 18.9195 | 19.4045 | 19.8745 | 20.3889 | 20.8583 | |
| OCCUPTIONL THEP ASST II CERT | 19.5529 | 20.0547 | 20.5687 | 21.0669 | 21.6121 | 22.1097 | |
| | | | | | | | |
| OPHTHALMIC PHOTOGRAPHER | 19.7941 | 20.3017 | 20.8225 | 21.3120 | 22.9450 | 24.5786 | |
| OPHTHALMIC TECH II – CERT | 22.1853 | 22.7542 | 23.3372 | 24.5656 | 25.7943 | 27.0226 | 28.2509 |
| OPHTHALMIC TECHNICIAN | 21.1285 | 21.6706 | 22.2263 | 23.3959 | 24.5660 | 25.7357 | 26.9056 |
| | | | | | | | |
| OR EQUIPMENT TECH | 18.0146 | 18.4763 | 18.9500 | 19.4196 | 19.9345 | 20.4039 | |
| OR EQUIPMENT TECH SR | 18.4464 | 18.9194 | 19.4045 | 19.8745 | 20.3889 | 20.8583 | |
| | | | | | | | |
| ORTHOPEDIC TECH ASST SR | 15.4929 | 15.9006 | 16.3083 | 16.6886 | 17.1048 | 17.4848 | |
| ORTHOPEDIC TECHNICIAN | 18.0146 | 18.4763 | 18.9500 | 19.4196 | 19.9345 | 20.4039 | |
| ORTHOPEDIC TECHNICIAN SR | 18.4464 | 18.9194 | 19.4045 | 19.8745 | 20.3889 | 20.8583 | |
| | | | | | | | |
| PATHOLOGY TECH ASST | 17.2640 | 17.7067 | 18.1606 | 18.6106 | 19.1040 | 19.5536 | |
| PATHOLOGY TECH ASST SR | 17.6778 | 18.1309 | 18.5961 | 19.0459 | 19.5396 | 19.9893 | |
| | | | | | | | |
| PATIENT TRANSPORTATION AIDE | 14.2094 | 14.5736 | 14.9473 | 15.1747 | 15.4828 | 15.7902 | |
| | | | | | | | |
| PHARMACY INTERN | 16.9797 | 17.4151 | 17.8618 | 18.1940 | 18.6761 | 19.1584 | |
| PHARMACY TECH - OUTPATIENT | 16.5577 | 16.9822 | 17.4177 | 17.7369 | 18.2000 | 18.6634 | |
| PHARMACY TECH – INPATIENT | 17.2269 | 17.6685 | 18.1217 | 18.4537 | 18.9356 | 19.4177 | |
| | | | | | | | |
| PHYSICAL THERAPY AIDE | 14.5382 | 14.9110 | 15.2933 | 15.5476 | 15.9085 | 16.2697 | |
| PHYSICAL THERAPY AIDE – SR | 15.1479 | 15.5364 | 15.9348 | 16.2289 | 16.6567 | 17.0852 | |
| PHYSICAL THERAPY ASST I | 20.0143 | 20.5276 | 21.0540 | 21.5638 | 22.1220 | 22.6312 | |
| PHYSICAL THERAPY ASST II | 21.2151 | 21.7593 | 22.3172 | 22.8575 | 23.4491 | 23.9890 | |
| PHYSICAL THERAPY TECHNICIAN | 15.9130 | 16.3209 | 16.7392 | 17.1539 | 17.6089 | 18.0233 | |
| | | | | | | | |
| PSYCHIATRIC ATTENDANT | 16.8164 | 17.2590 | 17.7013 | 18.1369 | 18.5726 | 18.9932 | |
| PSYCHIATRIC TECHNICIAN | 19.4388 | 19.9506 | 20.4619 | 20.9589 | 21.4416 | 21.9237 | 22.4064 |
| PSYCHIATRIC TECHNICIAN SR | 20.3018 | 20.8362 | 21.3704 | 21.8681 | 22.3504 | 22.8324 | 23.3147 |
| | | | | | | | |
| RADIOGRPHC FILM PROC TECH | 19.9582 | 20.4190 | 20.9427 | 21.5061 | 22.2749 | 23.0435 | |
| RADIOLGC FILM PROCLEADTECH | 21.9102 | 22.4722 | 23.0485 | 23.9252 | 24.4504 | 25.0259 | |
| RADIOLOGIC TECH – LIMITED | 21.7626 | 22.3351 | 22.9079 | 23.2695 | 23.7834 | | |
| RADIOLOGIC TECH I | 22.8039 | 23.4038 | 24.0039 | 24.3828 | 24.9214 | | |
| RADIOLOGIC TECH II | 24.1682 | 24.8045 | 25.4405 | 26.0166 | 26.8270 | | |
| RADIOLOGIC TECH III | 25.2209 | 25.8845 | 26.5482 | 27.3042 | 28.5915 | 29.8796 | 31.1668 |
| RADIOLGC TECHNOL – SUPV | 27.1622 | 27.8767 | 28.5915 | 29.8796 | 31.1668 | 32.4537 | 33.7412 |
| | | | | | | | |
| REG RESPIRATORY THER TECH I | 24.3404 | 24.9809 | 25.6213 | 26.1192 | 26.7412 | 27.3619 | |
| REG RESPIRATORY THER TECH II | 25.6406 | 26.3149 | 26.9900 | 27.6114 | 28.6069 | 29.8507 | 31.0944 |
| | | | | | | | |
| REGL LAB SUPPORT SPEC | 15.7924 | 16.1975 | 16.6129 | 16.9220 | 17.3699 | 17.8185 | |

112
