## WAGE RATES EFFECTIVE DECEMBER 31, 2000
## STRUCTURE B2

| Job Title | START | 1 YEAR | 2 YEARS | 3 YEARS | 4 YEARS | 5 YEARS | 6 YEARS |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| PHARMACY INTERN | 14.0165 | 14.3759 | 14.7448 | 15.0187 | 15.4169 | 15.8148 | |
| PHARMACY TECH OUTPATIENT | 13.6681 | 14.0186 | 14.3779 | 14.6414 | 15.0239 | 15.4063 | |
| PHARMACY TECH INPATIENT | 14.2204 | 14.5851 | 14.9590 | 15.2331 | 15.6311 | 16.0290 | |
| | | | | | | | |
| PHYSICAL THERAPY AIDE | 12.0011 | 12.3090 | 12.6246 | 12.8343 | 13.1324 | 13.4306 | |
| PHYSICAL THERAPY AIDE SR | 12.5039 | 12.8248 | 13.1537 | 13.3966 | 13.7499 | 14.1034 | |
| PHYSICAL THERAPY ASST I | 16.5213 | 16.9450 | 17.3794 | 17.8002 | 18.2611 | 18.6817 | |
| PHYSICAL THERAPY ASST II | 17.5128 | 17.9615 | 18.4224 | 18.8684 | 19.3569 | 19.8027 | |
| PHYSICAL THERAPY TECH SR | 13.4505 | 13.7954 | 14.1494 | 14.4919 | 14.8671 | 15.2095 | |
| PHYSICAL THER TECHNICIAN | 13.1358 | 13.4725 | 13.8178 | 14.1603 | 14.5357 | 14.8780 | |
| | | | | | | | |
| PROJECTOR OPERATOR | 15.0453 | 15.4343 | 15.8246 | | | | |
| PROJECTOR OPERATOR | 12.1570 | 12.4690 | 12.7882 | 13.1198 | 13.4508 | | |
| | | | | | | | |
| PSYCHIATRIC ATTENDANT | 13.8816 | 14.2471 | 14.6122 | 14.9717 | 15.3314 | 15.6786 | |
| PSYCHIATRIC TECHNICIAN | 16.0465 | 16.4689 | 16.8910 | 17.3013 | 17.6996 | 18.0976 | 18.4960 |
| PSYCHIATRIC TECHNICIAN SR | 16.7589 | 17.1997 | 17.6409 | 18.0518 | 18.4498 | 18.8476 | 19.2458 |
| | | | | | | | |
| RADIOLOGIC TECH I | 18.8243 | 19.3192 | 19.8148 | 20.1276 | 20.5719 | | |
| RADIOLOGIC TECH II | 19.9505 | 20.4754 | 21.0005 | 21.4762 | 22.1453 | | |
| RADIOLOGIC TECH III | 20.8190 | 21.3672 | 21.9151 | 22.5392 | 23.6019 | 24.6651 | 25.7274 |
| RADIOLOGIC TECH LIMITED | 17.9647 | 18.4370 | 18.9099 | 19.2086 | 19.6325 | | |
| RADIOLOGIC TECH SUPV | 22.4218 | 23.0115 | 23.6019 | 24.6651 | 25.7274 | 26.7898 | 27.8528 |
| | | | | | | | |
| REG RESP THERAPY TECH I | 20.0929 | 20.6217 | 21.1500 | 21.5607 | 22.0741 | 22.5874 | |
| REG RESP THERAPY TECH II | 21.1657 | 21.7228 | 22.2796 | 22.7930 | 23.6146 | 24.6411 | 25.6676 |
| | | | | | | | |
| RESP CARE PRACTITIONER I | 19.1362 | 19.6396 | 20.1431 | 20.5341 | 21.0230 | 21.5121 | |
| RESP CARE PRACTITIONER II | 20.1577 | 20.6882 | 21.2187 | 21.7077 | 22.4902 | 23.4676 | 24.4453 |
| RESP CARE PRACT SUPV | 22.2240 | 22.8086 | 23.3935 | 23.9327 | 24.7951 | 25.8730 | 26.9511 |
| RESPIRATORY CARE PERMITTEE | 17.2225 | | | | | | |
| | | | | | | | |
| RESPIRATORY SUPPLY AIDE | 12.3525 | 12.6691 | 12.9940 | 13.2921 | 13.6014 | 13.8778 | |
| RESPIRATORY SUPPLY AIDE SR | 12.5647 | 12.8868 | 13.2173 | 13.4607 | 13.8138 | 14.1672 | |
| | | | | | | | |
| SERVICE PARTNER | 12.0206 | 12.3287 | 12.6448 | 12.9761 | 13.3075 | | |
| | | | | | | | |
| STERILE PROC TECH II CERT | 13.3603 | 13.7028 | 14.0543 | 14.3771 | 14.7113 | 15.0099 | |
| STERILE PROC TECH SR CERT | 13.8949 | 14.2510 | 14.6166 | 14.9521 | 15.2997 | 15.6104 | |
| STERILE PROCESSING TECH I | 12.8465 | 13.1758 | 13.5138 | 13.8239 | 14.1456 | 14.4325 | |
| | | | | | | | |
| STOREKEEPER | 12.1570 | 12.4690 | 12.7882 | 13.1198 | 13.4508 | | |
| STOREKEEPER - CHIEF | 13.6220 | 13.9710 | 14.3293 | 14.7178 | 15.0551 | | |
| STOREKEEPER I | 12.3863 | 12.7038 | 13.0297 | 13.3670 | 13.7048 | | |
| STOREKEEPER II | 12.5856 | 12.9083 | 13.2392 | 13.5744 | 14.0366 | | |
| | | | | | | | |
| SURGICAL ASSISTANT CERT | 16.7414 | 17.1708 | 17.6112 | 18.0671 | 18.6095 | 19.2370 | |
| SURGICAL ASST TRAINEE | 15.8375 | 15.8375 | | | | | |
| SURGICAL ASST. | 16.3332 | 16.7520 | 17.1814 | 17.6264 | 18.1559 | 18.7679 | |

137
