## WAGE RATES EFFECTIVE OCTOBER 3, 2004
## STRUCTURE A/B1

| Job Title | START | 1 YEAR | 2 YEARS | 3 YEARS | 4 YEARS | 5 YEARS | 6 YEARS |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| CYTO-HISTO TECHNOL SUPV | 37.5279 | 38.5153 | 39.5022 | 41.1596 | 42.5173 | 43.3139 | |
| CYTOLOGY TECHNOL CHIEF | 36.2979 | 37.2531 | 38.2079 | 39.0047 | 40.1878 | 41.3960 | |
| CYTOTECHNOLOGIST I | 32.2128 | 33.0600 | 33.9083 | 34.3569 | 35.5651 | 36.7484 | |
| CYTOTECHNOLOGIST II | 33.2780 | 34.1538 | 35.0295 | 35.7029 | 36.8859 | 38.1939 | |
| CYTOTECHNOLOGIST III | 34.4143 | 35.3202 | 36.2258 | 37.0224 | 38.3805 | 39.7138 | |
| DARK ROOM TECHNICIAN | 17.0818 | 17.5198 | 17.9691 | 18.3154 | 18.9476 | 19.3989 | |
| DEPARTMENT SECRETARY | 18.2360 | 18.7036 | 19.1832 | 19.5398 | 20.0573 | 20.5755 | |
| DIAG ULTRASONOGRAPHER I | 30.8773 | 31.6896 | 32.5021 | 33.0150 | 33.7443 | 34.9057 | |
| DIAG ULTRASONOGRAPHER II | 33.0391 | 33.9084 | 34.7779 | 35.7681 | 37.4544 | 39.1412 | 40.8274 |
| DIAG ULTRASONOGRAPHER III | 34.6909 | 35.6037 | 36.5167 | 37.5565 | 39.3271 | 41.2125 | 42.8689 |
| DIAG ULTRASONRAPHER SUPV | 37.3613 | 38.3439 | 39.3272 | 41.0988 | 42.8691 | 44.7631 | 46.4104 |
| DIAG ULTRASONGRPHR TRAINEE | 27.1211 | | | | | | |
| DRIVER FOREMAN | 25.8663 | 26.5298 | 27.2098 | 27.7316 | 28.2518 | 28.8220 | |
| EEG TECHNOLOGIST I | 20.4415 | 20.9658 | 21.5034 | 22.0845 | 23.1310 | 24.0609 | |
| EEG TECHNOLOGIST II | 21.6572 | 22.2126 | 22.7820 | 23.3630 | 24.5254 | 25.6876 | |
| EKG TECHNICIAN | 19.5244 | 20.0249 | 20.5379 | 21.1328 | 21.9888 | 22.6208 | |
| EKG TECHNICIAN SR | 20.3718 | 20.8937 | 21.4295 | 22.0762 | 23.1176 | 23.9227 | |
| EMERGENCY DEPT TECH I | 17.1316 | 17.5710 | 18.0214 | 18.4339 | 18.8464 | 19.1819 | |
| EMERGENCY DEPT TECH II | 20.2639 | 20.7834 | 21.3162 | 21.8445 | 22.4236 | 22.9517 | |
| EMERGENCY RM ASST SF ONLY | 16.8783 | 17.3223 | 17.7664 | 18.1731 | 18.5796 | 18.9107 | |
| GARAGE ATTENDANT | 16.2705 | 16.6879 | 17.1157 | 17.4021 | 17.8084 | 18.2149 | |
| GARAGE/PARKING ATTENDANT | 16.2705 | 16.6879 | 17.1157 | 17.4021 | 17.8084 | 18.2149 | |
| GARDENER | 17.9999 | 18.4615 | 18.9344 | 19.3943 | 19.8545 | | |
| GARDENER SR | 19.4030 | 19.9004 | 20.4107 | 20.8748 | 21.3351 | | |
| HISTOLOGIC TECH I | 25.3028 | 25.9685 | 26.6343 | 27.1783 | 27.6075 | 27.9700 | |
| HISTOLOGIC TECH II | 27.3798 | 28.1004 | 28.8208 | 29.5681 | 30.0655 | 30.4055 | |
| HISTOLOGIC TECH TRAINEE | 21.1776 | 21.7343 | 22.2918 | 22.6643 | 23.1937 | 23.7228 | |
| HISTOLOGIC TECHNICIAN SUPV | 30.2954 | 31.0928 | 31.8901 | 32.6832 | 33.3171 | 33.7930 | |
| HOME HEALTH AIDE | 17.0786 | 17.5166 | 17.9659 | 18.3720 | 18.7936 | 19.1699 | |
| HOMEMAKER | 9.0807 | | | | | | |
| HOUSEKEEPING AIDE | 16.3803 | 16.8002 | 17.2307 | 17.6823 | 18.1336 | | |
| HOUSEKEEPING HEAD AIDE | 16.8089 | 17.2397 | 17.6823 | 18.1336 | 18.5851 | | |
| LABORATORY ASSISTANT I | 17.0461 | 17.4831 | 17.9319 | 18.2318 | 18.6572 | 19.0831 | |
| LABORATORY ASSISTANT II | 17.7643 | 18.2200 | 18.6872 | 19.0350 | 19.5388 | 20.0433 | |
| LABORATORY ASSISTANT III | 18.0644 | 18.5275 | 19.0025 | 19.3502 | 19.8542 | 20.3590 | |
| LABORATORY ASSISTANT SR | 18.4796 | 18.9535 | 19.4398 | 19.8492 | 20.4173 | 20.9842 | |

125
