## WAGE RATES EFFECTIVE OCTOBER 5, 2003
## STRUCTURE A/B1

| Job Title | START | 1 YEAR | 2 YEARS | 3 YEARS | 4 YEARS | 5 YEARS | 6 YEARS |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| ALLERY ASST SUPV CENTRL LAB | 19.0328 | 19.5207 | 20.0212 | 20.4767 | 21.1670 | 21.8110 | |
| ALLERGY TECHNICIAN | 17.8299 | 18.2872 | 18.7559 | 19.1174 | 19.6348 | 20.1377 | |
| ALLERGY TECHNICIAN SR | 18.5531 | 19.0289 | 19.5167 | 19.9412 | 20.5214 | 21.0866 | |
| ALLERGY TECHNICIAN TRAINEE | 16.9150 | 17.3486 | 17.7934 | 18.1227 | 18.5780 | 19.0020 | |
| ANESTHESIA SUPPLY AIDE | 16.1849 | 16.5996 | 17.0253 | 17.4162 | 17.8214 | 18.1832 | |
| ANESTHESIA SUPPLY AIDE SR | 16.4630 | 16.8852 | 17.3184 | 17.6370 | 18.0997 | 18.5629 | |
| ANESTHESIA TECH ASST SR | 19.1394 | 19.6304 | 20.1333 | 20.6321 | 21.1794 | 21.6780 | |
| ANESTHESIA TECH ASST | 18.6728 | 19.1516 | 19.6425 | 20.1292 | 20.6629 | 21.1491 | |
| ATHLETIC TRAINER CERT | 21.2486 | 21.7935 | 22.3383 | 22.7850 | 23.2408 | 23.7057 | |
| BONE DENSITOMETRY TECH | 18.7735 | 19.2547 | 19.7480 | 20.3200 | 21.1431 | 21.7508 | |
| CARDIOVAS ANESTHESIA TECH | 23.0294 | 23.6200 | 24.2258 | 25.0615 | 26.3146 | 27.5672 | |
| CARDIOVASCULAR TECH | 23.4392 | 24.0405 | 24.6570 | 25.5703 | 26.9396 | 28.3098 | |
| CARDIOVAS TECHNICIAN SR | 25.1754 | 25.8210 | 26.4831 | 27.3963 | 28.7659 | 30.1358 | |
| CARE PARTNER | 16.3398 | 16.7585 | 17.1883 | 17.5829 | 17.9921 | 18.3571 | |
| CENTRAL SUPPLY TECHNICIAN | 16.1849 | 16.5996 | 17.0253 | 17.4162 | 17.8214 | 18.1832 | |
| CLERICAL GRADE 1 | 15.0134 | 15.3986 | 15.7932 | 16.0393 | 16.3724 | 16.7047 | |
| CLERICAL GRADE 2 | 15.6447 | 16.0461 | 16.4574 | 16.7328 | 17.1235 | 17.5143 | |
| CLERICAL GRADE 3 | 15.9742 | 16.3840 | 16.8042 | 17.1512 | 17.5284 | 17.9551 | |
| CLERICAL GRADE 4 | 16.3041 | 16.7220 | 17.1512 | 17.4699 | 17.9327 | 18.3955 | |
| CLERICAL GRADE 5 | 16.9604 | 17.3954 | 17.8415 | 18.2175 | 18.7387 | 19.2589 | |
| CLERICAL GRADE 6 | 17.7298 | 18.1844 | 18.6504 | 19.0844 | 19.6777 | 20.2710 | |
| CLERICAL GRADE 7 | 18.4915 | 18.9656 | 19.4518 | 19.9292 | 20.6240 | 21.3185 | |
| COMMUNICATION OPERATOR | 15.9442 | 16.3532 | 16.7724 | 17.0531 | 17.4513 | 17.7016 | 18.3062 |
| COMMUNICATION OPERATOR SR | 16.2800 | 16.6976 | 17.1257 | 17.4794 | 17.8639 | 18.1141 | 18.7477 |
| COOK A | 17.4720 | 17.9200 | 18.3796 | 18.8301 | 19.2807 | | |
| COOK IN CHARGE (SR) | 18.2227 | 18.6903 | 19.1696 | 19.6202 | 20.0706 | | |
| CT SCHEDULING ASSISTANT | 16.3041 | 16.7220 | 17.1512 | 17.4699 | 17.9327 | 18.3955 | |
| CUSTODIAN/WATCHMAN | 16.8628 | 17.2953 | 17.7390 | 18.1729 | 18.6071 | | |
| CYTOGENETIC TECH I | 29.2920 | 30.0626 | 30.8337 | 31.2418 | 32.3404 | 33.4164 | |
| CYTOGENETIC TECH II | 30.2607 | 31.0570 | 31.8533 | 32.4657 | 33.5412 | 34.7308 | |
| CYTOGENETIC TECH III | 31.2939 | 32.1176 | 32.9412 | 33.6654 | 34.9005 | 36.1129 | 37.3901 |
| CYTOGENETIC TECH SR | 33.0068 | 33.8753 | 34.7436 | 35.4680 | 36.5439 | 37.6426 | 38.9697 |
| CYTOGENETIC TRAINEE | 24.1517 | 25.1685 | | | | | |

119
