## WAGE RATES EFFECTIVE OCTOBER 7, 2001
## STRUCTURE B2

| Job Title | START | 1 YEAR | 2 YEARS | 3 YEARS | 4 YEARS | 5 YEARS | 6 YEARS |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| ALLRGY ASST SUPV CENTRL LAB | 15.1069 | 15.4942 | 15.8916 | 16.2529 | 16.8012 | 17.3122 | |
| ALLERGY TECHNICIAN | 14.1522 | 14.5150 | 14.8873 | 15.1741 | 15.5846 | 15.9838 | |
| ALLERGY TECHNICIAN SR | 14.7263 | 15.1037 | 15.4912 | 15.8278 | 16.2885 | 16.7370 | |
| ALLERGY TECHNICIAN TRAINEE | 13.4257 | 13.7701 | 14.1233 | 14.3847 | 14.7443 | 15.0826 | |
| ANESTHESIA SUPPLY AIDE | 12.8466 | 13.1759 | 13.5138 | 13.8238 | 14.1455 | 14.4329 | |
| ANESTHESIA SUPPLY AIDE SR | 13.0673 | 13.4023 | 13.7460 | 13.9991 | 14.3664 | 14.7339 | |
| ANESTHESIA TECH ASST SR | 15.1916 | 15.5812 | 15.9802 | 16.3765 | 16.8108 | 17.2065 | |
| ANESTHESIA TECH ASST | 14.8211 | 15.2013 | 15.5906 | 15.9770 | 16.4008 | 16.7867 | |
| BONE DENSITOMETRY TECH | 14.9010 | 15.2830 | 15.6748 | 16.1286 | 16.7819 | 17.2643 | |
| CARDIOVASCULAR TECH | 18.6046 | 19.0815 | 19.5707 | 20.2962 | 21.3828 | 22.4704 | |
| CARDIOVASCULAR TECH SR | 19.9825 | 20.4950 | 21.0206 | 21.7453 | 22.8325 | 23.9196 | |
| CARE PARTNER | 12.9695 | 13.3019 | 13.6430 | 13.9562 | 14.2809 | 14.5708 | |
| CENTRAL SUPPLY TECHNICIAN | 12.8466 | 13.1759 | 13.5138 | 13.8238 | 14.1455 | 14.4329 | |
| CLERICAL GRADE 1 | 11.9166 | 12.2223 | 12.5353 | 12.7307 | 12.9954 | 13.2592 | |
| CLERICAL GRADE 2 | 12.4177 | 12.7363 | 13.0626 | 13.2814 | 13.5916 | 13.9017 | |
| CLERICAL GRADE 3 | 12.6794 | 13.0045 | 13.3378 | 13.6131 | 13.9130 | 14.2518 | |
| CLERICAL GRADE 4 | 12.9412 | 13.2728 | 13.6131 | 13.8665 | 14.2338 | 14.6012 | |
| CLERICAL GRADE 5 | 13.4623 | 13.8072 | 14.1614 | 14.4598 | 14.8735 | 15.2865 | |
| CLERICAL GRADE 6 | 14.0724 | 14.4335 | 14.8037 | 15.1479 | 15.6188 | 16.0895 | |
| CLERICAL GRADE 7 | 14.6774 | 15.0535 | 15.4395 | 15.8186 | 16.3700 | 16.9211 | |
| COMMUNICATION OPERATOR | 12.6553 | 12.9800 | 13.3125 | 13.5357 | 13.8517 | 14.0502 | 14.5302 |
| COMMUNICATION OPER SR | 12.9220 | 13.2534 | 13.5930 | 13.8736 | 14.1793 | 14.3778 | 14.8806 |
| COOK A | 13.8681 | 14.2237 | 14.5886 | 14.9459 | 15.3040 | | |
| COOK IN CHARGE (SR) | 14.4641 | 14.8349 | 15.2153 | 15.5734 | 15.9308 | | |
| CT SCHEDULING ASSISTANT | 12.9412 | 13.2728 | 13.6131 | 13.8665 | 14.2338 | 14.6012 | |
| CUSTODIAN/WATCHMAN | 13.3849 | 13.7280 | 14.0799 | 14.4241 | 14.7692 | | |
| CYTO-HISTO TECHNOL SUPV | 28.6412 | 29.3949 | 30.1484 | 31.4131 | 32.4491 | 33.0574 | |
| CYTOLOGY TECHNOL CHIEF | 27.7027 | 28.4318 | 29.1601 | 29.7683 | 30.6713 | 31.5933 | |
| CYTOTECHNOLOGIST I | 24.5847 | 25.2316 | 25.8790 | 26.2213 | 27.1434 | 28.0465 | |
| CYTOTECHNOLOGIST II | 25.3980 | 26.0664 | 26.7346 | 27.2485 | 28.1514 | 29.1495 | |
| CYTOTECHNOLOGIST III | 26.2653 | 26.9565 | 27.6476 | 28.2558 | 29.2922 | 30.3098 | |
| DARK ROOM TECHNICIAN | 13.0369 | 13.3713 | 13.7142 | 13.9784 | 14.4606 | 14.8054 | |
| DEPARTMENT SECRETARY | 13.9177 | 14.2745 | 14.6408 | 14.9131 | 15.3078 | 15.7033 | |

139
