## WAGE RATES EFFECTIVE OCTOBER 6, 2002
## STRUCTURE B2

| Job Title | START | 1 YEAR | 2 YEARS | 3 YEARS | 4 YEARS | 5 YEARS | 6 YEARS |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| MEDICAL RECORD CODER I | 16.9387 | 17.3840 | 17.8299 | 18.2055 | 18.7261 | 19.2466 | |
| MEDICAL RECORD CODER II | 18.2842 | 18.7656 | 19.2466 | 19.6507 | 20.2125 | 20.7724 | |
| MEDICAL SECRETARY | 17.3493 | 17.8062 | 18.2626 | 18.8075 | 19.3966 | 19.9848 | |
| MEDICAL SECRETARY SR | 18.2164 | 18.6963 | 19.1757 | 19.7479 | 20.3664 | 20.9841 | |
| MEDICAL SECRETARY TRAINEE | 13.9836 | 14.3419 | 14.7096 | 14.9835 | 15.3804 | 15.7774 | |
| MESSENGER DRIVER | 13.2459 | 13.5857 | 13.9340 | 14.1756 | 14.3566 | | |
| MESSENGER DRIVER SR | 14.0312 | 14.3908 | 14.7603 | 15.0015 | 15.1819 | | |
| MONITOR TECHNICIAN | 14.4470 | 14.8096 | 15.1800 | 15.4890 | 15.8165 | 16.1983 | |
| MRI TECHNOLOGIST I | 25.7680 | 26.2834 | 26.8091 | 27.3450 | 27.8763 | | |
| MRI TECHNOLOGIST II | 27.5451 | 28.0961 | 28.6578 | 29.2310 | 29.8158 | 30.4120 | |
| MRI TECHNOLOGIST SUPV | 29.3224 | 29.9084 | 30.5067 | 31.1170 | 31.7393 | 32.3741 | |
| MRI TECHNOLOGIST TRAINEE | 23.5204 | 23.9910 | 24.4707 | | | | |
| NUCLEAR MED TECH SUPVR | 27.4435 | 28.1656 | 28.8879 | 29.7267 | 30.6038 | 31.4430 | |
| NUCLEAR MEDICINE TECH I | 24.8279 | 25.4810 | 26.1348 | 26.9739 | 27.8504 | 28.6891 | |
| NUCLEAR MEDICINE TECH II | 26.3515 | 27.0452 | 27.7385 | 28.5776 | 29.4546 | 30.2937 | |
| NURSE ASSISTANT | 13.6232 | 13.9723 | 14.3306 | 14.6596 | 15.0006 | 15.3054 | |
| NURSE ASSISTANT SR | 13.7733 | 14.1267 | 14.4890 | 14.8174 | 15.1347 | 15.4630 | |
| NUTRITION AIDE | 12.9824 | 13.3150 | 13.6562 | 14.1718 | 14.5152 | | |
| NUTRITION CLERK | 13.1455 | 13.4827 | 13.8283 | 14.3439 | 14.6872 | | |
| NUTRITION CLERK SENIOR | 13.4668 | 13.8036 | 14.1495 | 14.6651 | 15.0083 | | |
| OB TECHNICIAN | 14.3497 | 14.7176 | 15.0948 | 15.4690 | 15.8790 | 16.2529 | |
| OB TECHNICIAN SR | 14.6935 | 15.0703 | 15.4571 | 15.8312 | 16.2411 | 16.6151 | |
| OCCUPNL THERP ASST I CERT | 16.6343 | 17.0607 | 17.4981 | 17.9218 | 18.3860 | 18.8094 | |
| OCCUPNL THERP ASST II CERT | 17.6324 | 18.0842 | 18.5483 | 18.9974 | 19.4890 | 19.9380 | |
| OPHTHALMIC PHOTOGRAPHER | 17.8497 | 18.3073 | 18.7769 | 19.2187 | 20.6912 | 22.1643 | |
| OPHTHALMIC TECH II CERT | 20.0062 | 20.5189 | 21.0450 | 22.1525 | 23.2604 | 24.3682 | 25.4754 |
| OPHTHALMIC TECHNICIAN | 19.0534 | 19.5420 | 20.0428 | 21.0976 | 22.1529 | 23.2077 | 24.2625 |
| ORTHOPEDIC TECHNICIAN | 16.2450 | 16.6615 | 17.0888 | 17.5119 | 17.9763 | 18.3994 | |
| ORTHOPEDIC TECHNICIAN SR | 16.6343 | 17.0607 | 17.4981 | 17.9218 | 18.3860 | 18.8094 | |
| PACEMAKER TECHNICIAN | 16.8421 | 17.2436 | 17.6552 | 18.1317 | 18.8178 | 19.3246 | |
| PACEMAKER TECHNICIAN SR | 17.5214 | 17.9401 | 18.3696 | 18.8883 | 19.7231 | 20.3683 | |
| PATHOLOGY TECH ASST | 15.5681 | 15.9673 | 16.3765 | 16.7823 | 17.2274 | 17.6327 | |
| PATHOLOGY TECH ASST SR | 15.9413 | 16.3500 | 16.7694 | 17.1752 | 17.6199 | 18.0257 | |
| PATIENT TRANSPORTATION AIDE | 12.8136 | 13.1418 | 13.4789 | 13.6841 | 13.9617 | 14.2394 | |

151
