## WAGE RATES EFFECTIVE JANUARY 1, 2002
## STRUCTURE B2

| Job Title | START | 1 YEAR | 2 YEARS | 3 YEARS | 4 YEARS | 5 YEARS | 6 YEARS |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| PHARMACY INTERN | 14.7230 | 15.1004 | 15.4879 | 15.7756 | 16.1939 | 16.6119 | |
| PHARMACY TECH OUTPATIENT | 14.3569 | 14.7251 | 15.1025 | 15.3794 | 15.7811 | 16.1828 | |
| PHARMACY TECH INPATIENT | 14.9371 | 15.3202 | 15.7130 | 16.0008 | 16.4189 | 16.8369 | |
| PHYSICAL THERAPY AIDE | 12.6059 | 12.9294 | 13.2609 | 13.4812 | 13.7943 | 14.1075 | |
| PHYSICAL THERAPY AIDE SR | 13.1341 | 13.4712 | 13.8166 | 14.0718 | 14.4429 | 14.8142 | |
| PHYSICAL THERAPY ASST I | 17.3540 | 17.7990 | 18.2553 | 18.6973 | 19.1814 | 19.6233 | |
| PHYSICAL THERAPY ASST II | 18.3954 | 18.8668 | 19.3509 | 19.8193 | 20.3325 | 20.8007 | |
| PHYSICAL THERAPY TECH SR | 14.1284 | 14.4907 | 14.8626 | 15.2223 | 15.6164 | 15.9761 | |
| PHYSICAL THERAPY TECH | 13.7978 | 14.1515 | 14.5142 | 14.8740 | 15.2683 | 15.6278 | |
| PROJECTOR OPERATOR | 15.8036 | 16.2122 | 16.6222 | | | | |
| PROJECTOR OPERATOR | 12.7697 | 13.0975 | 13.4327 | 13.7810 | 14.1287 | | |
| PSYCHIATRIC ATTENDANT | 14.5813 | 14.9652 | 15.3487 | 15.7263 | 16.1041 | 16.4688 | |
| PSYCHIATRIC TECHNICIAN | 16.8553 | 17.2990 | 17.7423 | 18.1733 | 18.5917 | 19.0097 | 19.4282 |
| PSYCHIATRIC TECHNICIAN SR | 17.6036 | 18.0666 | 18.5300 | 18.9616 | 19.3797 | 19.7975 | 20.2158 |
| RADIOLOGIC TECH I | 19.7731 | 20.2929 | 20.8135 | 21.1420 | 21.6087 | | |
| RADIOLOGIC TECH II | 20.9560 | 21.5073 | 22.0589 | 22.5586 | 23.2614 | | |
| RADIOLOGIC TECH III | 21.8683 | 22.4441 | 23.0196 | 23.6752 | 24.7915 | 25.9082 | 27.0241 |
| RADIOLOGIC TECH LIMITED | 18.8701 | 19.3662 | 19.8630 | 20.1767 | 20.6220 | | |
| RADIOLOGIC TECHNOL SUPV | 23.5519 | 24.1713 | 24.7915 | 25.9082 | 27.0241 | 28.1400 | 29.2566 |
| REG RESPIRATORY THER TECH I | 21.1056 | 21.6611 | 22.2160 | 22.6473 | 23.1867 | 23.7258 | |
| REG RESPIRATORY THER TECH II | 22.2324 | 22.8176 | 23.4025 | 23.9417 | 24.8048 | 25.8830 | 26.9612 |
| RESP CARE PRACTITIONER I | 20.1006 | 20.6295 | 21.1583 | 21.5691 | 22.0825 | 22.5963 | |
| RESP CARE PRACTITIONER II | 21.1736 | 21.7309 | 22.2881 | 22.8018 | 23.6237 | 24.6504 | 25.6773 |
| RESP CARE PRACT SUPV | 23.3441 | 23.9581 | 24.5725 | 25.1389 | 26.0448 | 27.1770 | 28.3094 |
| RESPIRATORY CARE PERMITTEE | 18.0905 | | | | | | |
| RESPIRATORY SUPPLY AIDE | 12.9751 | 13.3077 | 13.6489 | 13.9620 | 14.2870 | 14.5772 | |
| RESPIRATORY SUPPLY AIDE SR | 13.1980 | 13.5363 | 13.8835 | 14.1391 | 14.5101 | 14.8812 | |
| SERVICE PARTNER | 12.6264 | 12.9500 | 13.2821 | 13.6301 | 13.9782 | | |
| STERILE PROC TECH II CERT | 14.0336 | 14.3934 | 14.7627 | 15.1017 | 15.4528 | 15.7664 | |
| STERILE PROC TECH SR CERT | 14.5952 | 14.9692 | 15.3533 | 15.7057 | 16.0708 | 16.3971 | |
| STERILE PROCESSING TECH I | 13.4940 | 13.8398 | 14.1949 | 14.5207 | 14.8585 | 15.1599 | |
| STOREKEEPER | 12.7697 | 13.0975 | 13.4327 | 13.7810 | 14.1287 | | |
| STOREKEEPER - CHIEF | 14.3086 | 14.6751 | 15.0515 | 15.4596 | 15.8139 | | |
| STOREKEEPER I | 13.0106 | 13.3441 | 13.6864 | 14.0407 | 14.3955 | | |
| STOREKEEPER II | 13.2199 | 13.5588 | 13.9065 | 14.2586 | 14.7441 | | |

147
