## APPENDIX A

| LINK CODE | TITLE CODE | TITLE NAME | STEP | MONTHLY RATE | HOURLY RATE | SHIFT DIFFERENTIAL EVE | SHIFT DIFFERENTIAL NIGHT | SHIFT DIFFERENTIAL WKEND | ON CALL RATES 1 | ON CALL RATES 2 | ON CALL RATES 3 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| SAN FRANCISCO – cont. | | | | | | | | | | | |
| January 1, 2004 | | | | | | | | | | | |
| 019 | 8671 | MECHANICIAN, LAB, PRIN-MED FAC | 22. | $5,386 | $30.95 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8671 | MECHANICIAN, LAB, PRIN-MED FAC | 23. | $5,453 | $31.34 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8671 | MECHANICIAN, LAB, PRIN-MED FAC | 24. | $5,520 | $31.72 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8672 | MECHANICIAN, LAB, SR-MED FAC | 1. | $3,778 | $21.71 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8672 | MECHANICIAN, LAB, SR-MED FAC | 2. | $3,823 | $21.97 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8672 | MECHANICIAN, LAB, SR-MED FAC | 3. | $3,873 | $22.26 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8672 | MECHANICIAN, LAB, SR-MED FAC | 4. | $3,919 | $22.52 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8672 | MECHANICIAN, LAB, SR-MED FAC | 5. | $3,971 | $22.82 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8672 | MECHANICIAN, LAB, SR-MED FAC | 6. | $4,020 | $23.10 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8672 | MECHANICIAN, LAB, SR-MED FAC | 7. | $4,070 | $23.39 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8672 | MECHANICIAN, LAB, SR-MED FAC | 8. | $4,122 | $23.69 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8672 | MECHANICIAN, LAB, SR-MED FAC | 9. | $4,173 | $23.98 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8672 | MECHANICIAN, LAB, SR-MED FAC | 10. | $4,224 | $24.28 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8672 | MECHANICIAN, LAB, SR-MED FAC | 11. | $4,278 | $24.59 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8672 | MECHANICIAN, LAB, SR-MED FAC | 12. | $4,331 | $24.89 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8672 | MECHANICIAN, LAB, SR-MED FAC | 13. | $4,385 | $25.20 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8672 | MECHANICIAN, LAB, SR-MED FAC | 14. | $4,439 | $25.51 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8672 | MECHANICIAN, LAB, SR-MED FAC | 15. | $4,494 | $25.83 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8672 | MECHANICIAN, LAB, SR-MED FAC | 16. | $4,551 | $26.16 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8672 | MECHANICIAN, LAB, SR-MED FAC | 17. | $4,608 | $26.48 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8672 | MECHANICIAN, LAB, SR-MED FAC | 18. | $4,668 | $26.83 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8672 | MECHANICIAN, LAB, SR-MED FAC | 19. | $4,724 | $27.15 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8672 | MECHANICIAN, LAB, SR-MED FAC | 20. | $4,783 | $27.49 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8672 | MECHANICIAN, LAB, SR-MED FAC | 21. | $4,842 | $27.83 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8672 | MECHANICIAN, LAB, SR-MED FAC | 22. | $4,902 | $28.17 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8672 | MECHANICIAN, LAB, SR-MED FAC | 23. | $4,964 | $28.53 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8672 | MECHANICIAN, LAB, SR-MED FAC | 24. | $5,028 | $28.90 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8673 | MECHANICIAN, LAB-MED FAC | 1. | $3,446 | $19.80 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8673 | MECHANICIAN, LAB-MED FAC | 2. | $3,489 | $20.05 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8673 | MECHANICIAN, LAB-MED FAC | 3. | $3,531 | $20.29 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8673 | MECHANICIAN, LAB-MED FAC | 4. | $3,576 | $20.55 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8673 | MECHANICIAN, LAB-MED FAC | 5. | $3,622 | $20.82 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8673 | MECHANICIAN, LAB-MED FAC | 6. | $3,665 | $21.06 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8673 | MECHANICIAN, LAB-MED FAC | 7. | $3,714 | $21.34 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8673 | MECHANICIAN, LAB-MED FAC | 8. | $3,757 | $21.59 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8673 | MECHANICIAN, LAB-MED FAC | 9. | $3,806 | $21.87 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8673 | MECHANICIAN, LAB-MED FAC | 10. | $3,854 | $22.15 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8673 | MECHANICIAN, LAB-MED FAC | 11. | $3,902 | $22.43 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8673 | MECHANICIAN, LAB-MED FAC | 12. | $3,948 | $22.69 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8673 | MECHANICIAN, LAB-MED FAC | 13. | $4,000 | $22.99 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8673 | MECHANICIAN, LAB-MED FAC | 14. | $4,050 | $23.28 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8673 | MECHANICIAN, LAB-MED FAC | 15. | $4,099 | $23.56 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8673 | MECHANICIAN, LAB-MED FAC | 16. | $4,151 | $23.86 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8673 | MECHANICIAN, LAB-MED FAC | 17. | $4,204 | $24.16 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8673 | MECHANICIAN, LAB-MED FAC | 18. | $4,256 | $24.46 | $2.00 | $3.25 | $1.00 | | | |
