## APPENDIX A

| LINK CODE | TITLE CODE | TITLE NAME | STEP | MONTHLY RATE | HOURLY RATE | SHIFT DIFFERENTIAL EVE | SHIFT DIFFERENTIAL NIGHT | SHIFT DIFFERENTIAL WKEND | ON CALL RATES 1 | ON CALL RATES 2 | ON CALL RATES 3 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| | | | | | | | | | | | |
| **SAN FRANCISCO – cont.** | | | | | | | | | | | |
| **January 1, 2004** | | | | | | | | | | | |
| 014 | 9011 | TECHNOLOGIST,RAD THPY,ASSO,CHI | 10. | $6,569 | $37.75 | $3.00 | $4.50 | $1.50 | 50% | | |
| 014 | 9011 | TECHNOLOGIST,RAD THPY,ASSO,CHI | 11. | $6,651 | $38.22 | $3.00 | $4.50 | $1.50 | 50% | | |
| 014 | 9011 | TECHNOLOGIST,RAD THPY,ASSO,CHI | 12. | $6,733 | $38.70 | $3.00 | $4.50 | $1.50 | 50% | | |
| 014 | 9011 | TECHNOLOGIST,RAD THPY,ASSO,CHI | 13. | $6,817 | $39.18 | $3.00 | $4.50 | $1.50 | 50% | | |
| 014 | 9011 | TECHNOLOGIST,RAD THPY,ASSO,CHI | 14. | $6,903 | $39.67 | $3.00 | $4.50 | $1.50 | 50% | | |
| 014 | 9011 | TECHNOLOGIST,RAD THPY,ASSO,CHI | 15. | $6,987 | $40.16 | $3.00 | $4.50 | $1.50 | 50% | | |
| 014 | 9011 | TECHNOLOGIST,RAD THPY,ASSO,CHI | 16. | $7,077 | $40.67 | $3.00 | $4.50 | $1.50 | 50% | | |
| 014 | 9011 | TECHNOLOGIST,RAD THPY,ASSO,CHI | 17. | $7,166 | $41.18 | $3.00 | $4.50 | $1.50 | 50% | | |
| 014 | 9011 | TECHNOLOGIST,RAD THPY,ASSO,CHI | 18. | $7,255 | $41.70 | $3.00 | $4.50 | $1.50 | 50% | | |
| 014 | 9011 | TECHNOLOGIST,RAD THPY,ASSO,CHI | 19. | $7,345 | $42.21 | $3.00 | $4.50 | $1.50 | 50% | | |
| 014 | 9011 | TECHNOLOGIST,RAD THPY,ASSO,CHI | 20. | $7,437 | $42.74 | $3.00 | $4.50 | $1.50 | 50% | | |
| 014 | 9011 | TECHNOLOGIST,RAD THPY,ASSO,CHI | 21. | $7,531 | $43.28 | $3.00 | $4.50 | $1.50 | 50% | | |
| 014 | 9011 | TECHNOLOGIST,RAD THPY,ASSO,CHI | 22. | $7,625 | $43.82 | $3.00 | $4.50 | $1.50 | 50% | | |
| 014 | 9011 | TECHNOLOGIST,RAD THPY,ASSO,CHI | 23. | $7,719 | $44.36 | $3.00 | $4.50 | $1.50 | 50% | | |
| 014 | 9011 | TECHNOLOGIST,RAD THPY,ASSO,CHI | 24. | $7,816 | $44.92 | $3.00 | $4.50 | $1.50 | 50% | | |
| 014 | 9011 | TECHNOLOGIST,RAD THPY,ASSO,CHI | 25. | $7,914 | $45.48 | $3.00 | $4.50 | $1.50 | 50% | | |
| 014 | 9012 | TECHNOLOGIST,RAD THPY, SR | 1. | $5,616 | $32.28 | $3.00 | $4.50 | $1.50 | 50% | | |
