# APPENDIX A

| LINK CODE | TITLE CODE | TITLE NAME | MONTHLY MINIMUM RATE | HOURLY MINIMUM RATE | MONTHLY MIDPOINT RATE | HOURLY MIDPOINT RATE | MONTHLY MAXIMUM RATE | HOURLY MAXIMUM RATE | SHIFT DIFFERENTIAL EVE | SHIFT DIFFERENTIAL NIGHT | SHIFT DIFFERENTIAL WKEND | ON CALL RATES 1 | ON CALL RATES 2 | ON CALL RATES 3 |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| **CAMPUS - Los Angeles - cont.** | | | | | | | | | | | | | | |
| **Date: January and February 2004** | | | | | | | | | | | | | | |
| 017 | 9293 | CERT PHLEBOTOMIST TECH II | $2,271 | $13.05 | $2,662 | $15.30 | $3,054 | $17.55 | $0.85 | $1.25 | | $3.00 | | |
| 017 | 9294 | CERT PHLEBOTOMIST TECH III | $2,533 | $14.56 | $2,970 | $17.07 | $3,407 | $19.58 | $0.85 | $1.25 | | $3.00 | | |
| 017 | 9295 | CERT PHLEBOTOMIST TECH II, PD | | $15.30 | | | | | $0.85 | $1.25 | | $3.00 | | |
| 018 | 9263 | MEDICAL REC ADMINISTRATOR | $2,781 | $15.98 | $3,337 | $19.18 | $3,892 | $22.37 | $1.10 | $1.75 | $0.60 | | | |
| 018 | 9264 | MEDICAL REC ADMINISTRATOR,ASST | $2,446 | $14.06 | $2,935 | $16.87 | $3,424 | $19.68 | $1.10 | $1.75 | $0.60 | | | |
| 018 | 9266 | TECHNICIAN, MEDICAL RECORD | $2,245 | $12.90 | $2,694 | $15.48 | $3,142 | $18.06 | $1.10 | $1.75 | $0.60 | | | |
| 018 | 9267 | TECHNICIAN,MEDICAL RECORD,ASST | $2,081 | $11.96 | $2,497 | $14.35 | $2,913 | $16.74 | $1.10 | $1.75 | $0.60 | | | |
| 018 | 9338 | COORDINATOR VOL SERVICES I | $2,821 | $16.21 | $3,384 | $19.45 | $3,948 | $22.69 | $1.10 | $1.75 | $0.60 | | | |
| 018 | 9339 | COORDINATOR VOL SERVICES, ASST | $2,582 | $14.84 | $3,099 | $17.81 | $3,616 | $20.78 | $1.10 | $1.75 | $0.60 | | | |
| 019 | 8640 | TECHNICIAN, DEV, V-MED FAC | $3,623 | $20.82 | $4,347 | $24.98 | $5,072 | $29.15 | $1.10 | $1.75 | $0.60 | | | |
| 019 | 8641 | TECHNICIAN, DEV, IV-MED FAC | $3,146 | $18.08 | $3,776 | $21.70 | $4,404 | $25.31 | $1.10 | $1.75 | $0.60 | | | |
| 019 | 8642 | TECHNICIAN, DEV, III-MEDFAC | $2,620 | $15.06 | $3,144 | $18.07 | $3,668 | $21.08 | $1.10 | $1.75 | $0.60 | | | |
| 019 | 8643 | TECHNICIAN, DEV, II-MED FAC | $2,213 | $12.72 | $2,655 | $15.26 | $3,099 | $17.81 | $1.10 | $1.75 | $0.60 | | | |
| 019 | 8644 | TECHNICIAN,DEV,I-MED FAC | $1,973 | $11.34 | $2,368 | $13.61 | $2,763 | $15.88 | $1.10 | $1.75 | $0.60 | | | |
| 019 | 8671 | MECHANICIAN, LAB, PRIN-MED FAC | $3,623 | $20.82 | $4,347 | $24.98 | $5,072 | $29.15 | $1.10 | $1.75 | $0.60 | | | |
| 019 | 8672 | MECHANICIAN, LAB, SR-MED FAC | $3,297 | $18.95 | $3,957 | $22.74 | $4,616 | $26.53 | $1.10 | $1.75 | $0.60 | | | |
| 019 | 8673 | MECHANICIAN, LAB-MED FAC | $3,010 | $17.30 | $3,612 | $20.76 | $4,214 | $24.22 | $1.10 | $1.75 | $0.60 | | | |
| 019 | 8674 | MECHANICIAN,LAB,HELPER-MED FAC | $2,620 | $15.06 | $3,144 | $18.07 | $3,668 | $21.08 | $1.10 | $1.75 | $0.60 | | | |
| 019 | 8681 | TECHNICIAN, ELEC,PRIN-MED FAC | $3,623 | $20.82 | $4,348 | $24.99 | $5,072 | $29.15 | $1.10 | $1.75 | $0.60 | $4.80 | | |
| 019 | 8682 | TECHNICIAN, ELEC, SR-MED FAC | $3,146 | $18.08 | $3,776 | $21.70 | $4,404 | $25.31 | $1.10 | $1.75 | $0.60 | $4.80 | | |
| 019 | 8683 | TECHNICIAN, ELEC-MED FAC | $2,873 | $16.51 | $3,447 | $19.81 | $4,021 | $23.11 | $1.10 | $1.75 | $0.60 | $4.80 | | |
| 019 | 8684 | TECHNICIAN,ELEC, TRAINEE-MF | $2,441 | $14.03 | $2,930 | $16.84 | $3,417 | $19.64 | $1.10 | $1.75 | $0.60 | | | |
| 019 | 9027 | PERFUSIONIST, SR | $5,563 | $31.97 | $6,675 | $38.36 | $7,787 | $44.75 | $1.10 | $1.75 | $0.60 | $8.00 | | |
| 019 | 9028 | PERFUSIONIST | $4,837 | $27.80 | $5,805 | $33.36 | $6,772 | $38.92 | $1.10 | $1.75 | $0.60 | $8.00 | | |
| 019 | 9036 | PERFUSIONIST, PRIN | $6,118 | $35.16 | $7,343 | $42.20 | $8,566 | $49.23 | $1.10 | $1.75 | $0.60 | $8.00 | | |
| 019 | 9038 | PERFUSIONIST, PER DIEM | | $44.37 | | | | | $1.10 | $1.75 | $0.60 | | | |
| 019 | 9039 | PERFUSIONIST, SR, PER DIEM | | $51.00 | | | | | $1.10 | $1.75 | $0.60 | | | |
| 019 | 9041 | PROSTHETIST/ORTHOTIST, SR | $3,600 | $20.69 | $4,320 | $24.83 | $5,041 | $28.97 | $1.10 | $1.75 | $0.60 | | | |
| 019 | 9042 | PROSTHETIST/ORTHOTIST | $3,280 | $18.85 | $3,936 | $22.62 | $4,592 | $26.39 | $1.10 | $1.75 | $0.60 | | | |
| 019 | 9044 | PROSTHETICS/ORTHOTICS, ASST | $2,147 | $12.34 | $2,577 | $14.81 | $3,007 | $17.28 | $1.10 | $1.75 | $0.60 | | | |

- 114 -
