## APPENDIX A

| LINK CODE | TITLE CODE | TITLE NAME | MONTHLY MINIMUM RATE | HOURLY MINIMUM RATE | MONTHLY MIDPOINT RATE | HOURLY MIDPOINT RATE | MONTHLY MAXIMUM RATE | HOURLY MAXIMUM RATE | SHIFT DIFFERENTIAL EVE | SHIFT DIFFERENTIAL NIGHT | SHIFT DIFFERENTIAL WKEND | ON CALL RATES 1 | ON CALL RATES 2 | ON CALL RATES 3 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| | | **CAMPUS - Irvine- cont** | | | | | | | | | | | | |
| | | **Date - January and July 2004** | | | | | | | | | | | | |
| 014 | 9024 | TECHNOLOGIST,RADIOLOG,TRAINEE | $2,828 | $16.25 | $3,420 | $19.66 | $4,012 | $23.06 | $1.45 | $2.17 | | $6.35 | | |
| 014 | 9025 | TECHNOLOGIST,RADIOLOG,PER DIEM | | $25.29 | | | | | $1.67 | $2.51 | | $6.35 | | |
| 014 | 9026 | TECHNOLOGIST,RAD,PRIN,PER DIEM | | $28.40 | | | | | $1.75 | $2.63 | | $6.35 | | |
| 014 | 9084 | TECHNOLOGIST, MRI, PER DIEM | | $30.11 | | | | | $1.93 | $2.89 | | $6.35 | | |
| 014 | 9085 | TECHNOLOGIST, MRI | $4,141 | $23.80 | $4,848 | $27.86 | $5,554 | $31.92 | $1.93 | $2.89 | | $6.35 | | |
| 014 | 9086 | TECHNOLOGIST, CT | $3,948 | $22.69 | $4,670 | $26.84 | $5,392 | $30.99 | $1.75 | $2.63 | | $6.35 | | |
| 014 | 9087 | TECHNOLOGIST, CT, PER DIEM | | $29.25 | | | | | $1.75 | $2.63 | | $6.35 | | |
| 014 | 9106 | TECHNOLOGIST, ULTRASOUND PD | | $27.50 | | | | | $1.67 | $2.51 | | $6.35 | | |
| 015 | 9048 | THERAPIST, RESPIRATORY, II | $3,872 | $22.25 | $4,417 | $25.39 | $4,962 | $28.52 | $1.67 | $2.51 | | $5.22 | | |
| 015 | 9049 | THERAPIST, RESPIRATORY, REG, I | $3,423 | $19.67 | $4,037 | $23.20 | $4,651 | $26.73 | $1.52 | $2.28 | | $4.74 | | |
| 015 | 9050 | THERAPIST, RESPIRATORY, I | $3,109 | $17.87 | $3,621 | $20.81 | $4,133 | $23.75 | $1.38 | $2.07 | | $4.31 | | |
| 015 | 9051 | THERAPIST,RESPIRA,REG,PER DIEM | | $26.01 | | | | | $1.59 | $2.39 | | $4.98 | | |
| 015 | 9052 | THERAPIST,RESPIRAT ,PER DIEM | | $23.81 | | | | | $1.45 | $2.17 | | $4.53 | | |
| 016 | 9221 | TECH II, CENTRAL STERILE PD | | $14.61 | | | | | $0.99 | $1.48 | | $3.24 | | |
| 016 | 9254 | ___AID, HOSPITAL | $1,498 | $8.61 | $1,737 | $9.98 | $1,975 | $11.35 | $0.71 | $1.06 | | $2.22 | | |
| 016 | 9257 | HOSPITAL UNIT SERV COORD III | $2,025 | $11.64 | $2,462 | $14.15 | $2,899 | $16.66 | $0.99 | $1.48 | | $3.09 | | |
| 016 | 9258 | HOSPITAL UNIT SERV COORD II | $1,914 | $11.00 | $2,323 | $13.35 | $2,732 | $15.70 | $0.94 | $1.41 | | $2.95 | | |
| 017 | 8901 | ASSISTANT, MEDICAL, PER DIEM | | $15.67 | | | | | $1.04 | $1.56 | | $3.24 | | |
| 017 | 8908 | ASSISTANT, MEDICAL | $1,973 | $11.34 | $2,352 | $13.52 | $2,732 | $15.70 | $1.04 | $1.56 | | $3.24 | | |
| 017 | 9218 | TECHNICIAN II, CENTRAL STERILE | $2,025 | $11.64 | $2,340 | $13.45 | $2,654 | $15.25 | $0.99 | $1.48 | | $3.24 | | |
| 017 | 9220 | TECHNICIAN, CENTRAL STERILE,PD | | $13.27 | | | | | $0.94 | $1.41 | | $2.95 | | |
| 017 | 9230 | COORD, HOSP. UNIT SERV P.D. | | $14.22 | | | | | $0.94 | $1.41 | | $2.95 | | |
| 017 | 9237 | PHLEBOTOMIST, PER DIEM | | $15.31 | | | | | $0.90 | $1.35 | | $2.80 | | |
| 017 | 9239 | PHLEBOTOMIST | $2,121 | $12.19 | $2,427 | $13.95 | $2,732 | $15.70 | $0.90 | $1.35 | | $2.80 | | |
| 017 | 9244 | ___ASSIST. II, HOSP., P.D. | | $15.56 | | | | | $1.09 | $1.63 | | $3.40 | | |
| 017 | 9245 | ___ASSIST. I, HOSP., P.D. | | $13.49 | | | | | $0.94 | $1.41 | | $2.95 | | |
| 017 | 9251 | ___ASSISTANT, HOSPITAL, III | $2,333 | $13.41 | $2,798 | $16.08 | $3,263 | $18.75 | $1.14 | $1.71 | | $3.57 | | |
| 017 | 9252 | ___ASSISTANT, HOSPITAL, II | $2,121 | $12.19 | $2,427 | $13.95 | $2,732 | $15.70 | $1.04 | $1.56 | | $3.24 | | |
| 017 | 9264 | MEDICAL REC ADMINISTRATOR,ASST | $2,025 | $11.64 | $2,340 | $13.45 | $2,654 | $15.25 | $1.04 | $1.56 | | $3.24 | | |
| 017 | 9267 | TECHNICIAN,MEDICAL RECORD,ASST | $1,749 | $10.05 | $2,018 | $ 11.60 | $2,288 | $ 13.15 | $0.90 | $1.34 | | $2.80 | | |

- 107 -
