## APPENDIX A

| | | | | | | SHIFT DIFFERENTIAL | | | ON CALL RATES | | |
|---|---|---|---|---|---|---|---|---|---|---|---|
| LINK CODE | TITLE CODE | TITLE NAME | STEP | MONTHLY RATE | HOURLY RATE | EVE | NIGHT | WKEND | 1 | 2 | 3 |

SAN FRANCISCO - cont.
January 1, 2004

| 017 | 9252 | ___ASSISTANT, HOSPITAL, II | 24. | $3,346 | $19.23 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9253 | -ASSISTANT, HOSPITAL, I | 1. | $2,260 | $12.99 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9253 | -ASSISTANT, HOSPITAL, I | 2. | $2,287 | $13.14 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9253 | -ASSISTANT, HOSPITAL, I | 3. | $2,317 | $13.32 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9253 | -ASSISTANT, HOSPITAL, I | 4. | $2,346 | $13.48 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9253 | -ASSISTANT, HOSPITAL, I | 5. | $2,376 | $13.66 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9253 | -ASSISTANT, HOSPITAL, I | 6. | $2,406 | $13.83 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9253 | -ASSISTANT, HOSPITAL, I | 7. | $2,436 | $14.00 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9253 | -ASSISTANT, HOSPITAL, I | 8. | $2,466 | $14.17 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9253 | -ASSISTANT, HOSPITAL, I | 9. | $2,497 | $14.35 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9253 | -ASSISTANT, HOSPITAL, I | 10. | $2,529 | $14.53 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9253 | -ASSISTANT, HOSPITAL, I | 11. | $2,559 | $14.71 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9253 | -ASSISTANT, HOSPITAL, I | 12. | $2,591 | $14.89 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9253 | -ASSISTANT, HOSPITAL, I | 13. | $2,624 | $15.08 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9253 | -ASSISTANT, HOSPITAL, I | 14. | $2,656 | $15.26 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9253 | -ASSISTANT, HOSPITAL, I | 15. | $2,690 | $15.46 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9253 | -ASSISTANT, HOSPITAL, I | 16. | $2,723 | $15.65 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9253 | -ASSISTANT, HOSPITAL, I | 17. | $2,756 | $15.84 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9253 | -ASSISTANT, HOSPITAL, I | 18. | $2,791 | $16.04 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9253 | -ASSISTANT, HOSPITAL, I | 19. | $2,826 | $16.24 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9253 | -ASSISTANT, HOSPITAL, I | 20. | $2,860 | $16.44 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9253 | -ASSISTANT, HOSPITAL, I | 21. | $2,896 | $16.64 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9253 | -ASSISTANT, HOSPITAL, I | 22. | $2,936 | $16.87 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9253 | -ASSISTANT, HOSPITAL, I | 23. | $2,971 | $17.07 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9253 | -ASSISTANT, HOSPITAL, I | 24. | $3,008 | $17.29 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9265 | TECHNICIAN, CENTRAL STERILE | 1. | $2,513 | $14.44 | $2.25 | $3.75 | $1.25 | 50% | | |
| 017 | 9265 | TECHNICIAN, CENTRAL STERILE | 2. | $2,545 | $14.63 | $2.25 | $3.75 | $1.25 | 50% | | |
| 017 | 9265 | TECHNICIAN, CENTRAL STERILE | 3. | $2,576 | $14.80 | $2.25 | $3.75 | $1.25 | 50% | | |
| 017 | 9265 | TECHNICIAN, CENTRAL STERILE | 4. | $2,609 | $14.99 | $2.25 | $3.75 | $1.25 | 50% | | |
| 017 | 9265 | TECHNICIAN, CENTRAL STERILE | 5. | $2,642 | $15.18 | $2.25 | $3.75 | $1.25 | 50% | | |
| 017 | 9265 | TECHNICIAN, CENTRAL STERILE | 6. | $2,674 | $15.37 | $2.25 | $3.75 | $1.25 | 50% | | |
| 017 | 9265 | TECHNICIAN, CENTRAL STERILE | 7. | $2,708 | $15.56 | $2.25 | $3.75 | $1.25 | 50% | | |
| 017 | 9265 | TECHNICIAN, CENTRAL STERILE | 8. | $2,742 | $15.76 | $2.25 | $3.75 | $1.25 | 50% | | |
| 017 | 9265 | TECHNICIAN, CENTRAL STERILE | 9. | $2,776 | $15.95 | $2.25 | $3.75 | $1.25 | 50% | | |
| 017 | 9265 | TECHNICIAN, CENTRAL STERILE | 10. | $2,811 | $16.16 | $2.25 | $3.75 | $1.25 | 50% | | |
| 017 | 9265 | TECHNICIAN, CENTRAL STERILE | 11. | $2,846 | $16.36 | $2.25 | $3.75 | $1.25 | 50% | | |
| 017 | 9265 | TECHNICIAN, CENTRAL STERILE | 12. | $2,882 | $16.56 | $2.25 | $3.75 | $1.25 | 50% | | |
| 017 | 9265 | TECHNICIAN, CENTRAL STERILE | 13. | $2,917 | $16.76 | $2.25 | $3.75 | $1.25 | 50% | | |
| 017 | 9265 | TECHNICIAN, CENTRAL STERILE | 14. | $2,955 | $16.98 | $2.25 | $3.75 | $1.25 | 50% | | |
| 017 | 9265 | TECHNICIAN, CENTRAL STERILE | 15. | $2,990 | $17.18 | $2.25 | $3.75 | $1.25 | 50% | | |
| 017 | 9265 | TECHNICIAN, CENTRAL STERILE | 16. | $3,029 | $17.41 | $2.25 | $3.75 | $1.25 | 50% | | |
| 017 | 9265 | TECHNICIAN, CENTRAL STERILE | 17. | $3,066 | $17.62 | $2.25 | $3.75 | $1.25 | 50% | | |
| 017 | 9265 | TECHNICIAN, CENTRAL STERILE | 18. | $3,106 | $17.85 | $2.25 | $3.75 | $1.25 | 50% | | |
| 017 | 9265 | TECHNICIAN, CENTRAL STERILE | 19. | $3,143 | $18.06 | $2.25 | $3.75 | $1.25 | 50% | | |
| 017 | 9265 | TECHNICIAN, CENTRAL STERILE | 20. | $3,183 | $18.29 | $2.25 | $3.75 | $1.25 | 50% | | |
| 017 | 9265 | TECHNICIAN, CENTRAL STERILE | 21. | $3,223 | $18.52 | $2.25 | $3.75 | $1.25 | 50% | | |
| 017 | 9265 | TECHNICIAN, CENTRAL STERILE | 22. | $3,263 | $18.75 | $2.25 | $3.75 | $1.25 | 50% | | |
| 017 | 9265 | TECHNICIAN, CENTRAL STERILE | 23. | $3,305 | $18.99 | $2.25 | $3.75 | $1.25 | 50% | | |
| 017 | 9265 | TECHNICIAN, CENTRAL STERILE | 24. | $3,346 | $19.23 | $2.25 | $3.75 | $1.25 | 50% | | |
| 017 | 9271 | TECHNICIAN,PATIENT DIALYSI, II | 1. | $3,188 | $18.32 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9271 | TECHNICIAN,PATIENT DIALYSI, II | 2. | $3,226 | $18.54 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9271 | TECHNICIAN,PATIENT DIALYSI, II | 3. | $3,267 | $18.78 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9271 | TECHNICIAN,PATIENT DIALYSI, II | 4. | $3,310 | $19.02 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9271 | TECHNICIAN,PATIENT DIALYSI, II | 5. | $3,350 | $19.25 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9271 | TECHNICIAN,PATIENT DIALYSI, II | 6. | $3,392 | $19.49 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9271 | TECHNICIAN,PATIENT DIALYSI, II | 7. | $3,434 | $19.74 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9271 | TECHNICIAN,PATIENT DIALYSI, II | 8. | $3,476 | $19.98 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9271 | TECHNICIAN,PATIENT DIALYSI, II | 9. | $3,523 | $20.25 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9271 | TECHNICIAN,PATIENT DIALYSI, II | 10. | $3,566 | $20.49 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9271 | TECHNICIAN,PATIENT DIALYSI, II | 11. | $3,608 | $20.74 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9271 | TECHNICIAN,PATIENT DIALYSI, II | 12. | $3,655 | $21.01 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9271 | TECHNICIAN,PATIENT DIALYSI, II | 13. | $3,700 | $21.26 | $2.00 | $3.25 | $1.00 | 50% | | |

- 152 -
