# APPENDIX A

| LINK CODE | TITLE CODE | TITLE NAME | MONTHLY MINIMUM RATE | HOURLY MINIMUM RATE | MONTHLY MIDPOINT RATE | HOURLY MIDPOINT RATE | MONTHLY MAXIMUM RATE | HOURLY MAXIMUM RATE | SHIFT DIFFERENTIAL EVE | SHIFT DIFFERENTIAL NIGHT | SHIFT DIFFERENTIAL WKEND | ON CALL RATES 1 | ON CALL RATES 2 | ON CALL RATES 3 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| **Irvine - cont** | | | | | | | | | | | | | | |
| **Date - January and July 2004** | | | | | | | | | | | | | | |
| 011 | 8906 | HOSPITAL ASST, PER DIEM | | $13.54 | | | | | $0.94 | $1.41 | | $2.95 | | |
| 011 | 8911 | PATIENT ESCORT, SR | $1,597 | $9.18 | $1,846 | $10.61 | $2,095 | $12.04 | $0.82 | $1.22 | | $2.55 | | |
| 011 | 8912 | PATIENT ESCORT | $1,519 | $8.73 | $1,747 | $10.04 | $1,975 | $11.35 | $0.78 | $1.17 | | $2.43 | | |
| 011 | 8994 | ASSISTANT, MEDICAL, II | $2,067 | $11.88 | $2,483 | $14.27 | $2,899 | $16.66 | $1.09 | $1.63 | | $3.40 | | |
| 011 | 9253 | -ASSISTANT, HOSPITAL, I | $1,712 | $9.84 | $2,001 | $11.50 | $2,288 | $13.15 | $0.85 | $1.28 | | $2.67 | | |
| 012 | 8891 | TECHNICIAN, EMERG TRAUMA SR PD | | $14.92 | | | | | $0.99 | $1.48 | | $3.09 | | |
| 012 | 8916 | NURSE, VOCATIONAL, SR | $2,692 | $15.47 | $3,295 | $18.94 | $3,898 | $22.40 | $1.20 | $1.79 | | $3.74 | | |
| 012 | 8917 | NURSE, VOCATIONAL | $2,384 | $13.70 | $2,923 | $16.80 | $3,461 | $19.89 | $1.09 | $1.63 | | $3.40 | | |
| 012 | 8918 | NURSE, VOCATIONAL, PER DIEM | | $19.49 | | | | | $1.20 | $1.79 | | $3.74 | | |
| 012 | 8919 | TECHNICIAN, EMERG TRAUMA, SR | $2,025 | $11.64 | $2,420 | $13.91 | $2,814 | $16.17 | $0.99 | $1.48 | | $3.09 | | |
| 012 | 8920 | TECHNICIAN, EMERGENCY, TRAUMA | $1,839 | $10.57 | $2,246 | $12.91 | $2,654 | $15.25 | $0.90 | $1.34 | | $2.80 | | |
| 012 | 8924 | TECHNICIAN, PSYCH, PER DIEM | | $19.49 | | | | | $1.26 | $1.89 | | $3.93 | | |
| 012 | 8925 | TECHNICIAN, PSYCHIATRIC, SR | $2,967 | $17.05 | $3,433 | $19.73 | $3,898 | $22.40 | $1.32 | $1.98 | | $4.12 | | |
| 012 | 8926 | TECHNICIAN, PSYCHIATRIC | $2,692 | $15.47 | $3,129 | $17.98 | $3,565 | $20.49 | $1.26 | $1.89 | | $3.93 | | |
| 012 | 8927 | TECHNICIAN, ORTHOPEDIC, PRIN | $2,692 | $15.47 | $3,182 | $18.29 | $3,671 | $21.10 | $1.09 | $1.63 | | $3.40 | | |
| 012 | 8928 | TECHNICIAN, ORTHOPEDIC, SR | $2,446 | $14.06 | $2,954 | $16.98 | $3,461 | $19.89 | $0.99 | $1.48 | | $3.09 | | |
| 012 | 8929 | TECHNICIAN, ORTHOPEDIC | $2,333 | $13.41 | $2,662 | $15.30 | $2,991 | $17.19 | $0.90 | $1.34 | | $2.80 | | |
| 012 | 8930 | TECHNICIAN, SURGICAL, SR | $2,967 | $17.05 | $3,490 | $20.06 | $4,012 | $23.06 | $1.38 | $2.07 | | $4.31 | | |
| 012 | 8931 | TECHNICIAN, SURGICAL | $2,570 | $14.77 | $3,068 | $17.63 | $3,565 | $20.49 | $1.20 | $1.79 | | $3.74 | | |
| 012 | 8932 | TECHNICIAN, SURGICAL, PER DIEM | | $21.40 | | | | | $1.38 | $2.07 | | $4.31 | | |
| 012 | 8973 | TECHNICIAN, HOSP LAB, IV | $3,423 | $19.67 | $4,037 | $23.20 | $4,651 | $26.73 | $1.52 | $2.28 | | $4.74 | | |
| 012 | 8974 | TECHNICIAN, HOSPITAL LAB, III | $2,828 | $16.25 | $3,363 | $19.33 | $3,898 | $22.40 | $1.38 | $2.07 | | $4.31 | | |
| 012 | 8975 | TECHNICIAN, HOSPITAL LAB, II | $2,570 | $14.77 | $3,068 | $17.63 | $3,565 | $20.49 | $1.26 | $1.89 | | $3.93 | | |
| 012 | 8976 | TECHNICIAN, HOSPITAL LAB, I | $2,067 | $11.88 | $2,440 | $14.02 | $2,814 | $16.17 | $1.09 | $1.63 | | $3.40 | | |
| 012 | 8984 | HOSP. LAB. TECH. III, P.D. | | $20.81 | | | | | $1.38 | $2.07 | | $4.31 | | |
| 012 | 8985 | HOSP. LAB. TECH. II, P.D. | | $18.94 | | | | | $1.26 | $1.89 | | $3.93 | | |
| 012 | 9090 | TECHNO, POLYSOMNOGRAPHY, PR | $3,423 | $19.67 | $3,906 | $22.45 | $4,388 | $25.22 | $1.67 | $2.51 | | $5.22 | | |
| 012 | 9091 | TECHNO, POLYSOMNOGRAPHY, SR | $2,967 | $17.05 | $3,490 | $20.06 | $4,012 | $23.06 | $1.59 | $2.39 | | $4.98 | | |
| 012 | 9092 | TECHNOLOGIST, POLYSOMNOGRAPHY | $2,784 | $16.00 | $3,283 | $18.87 | $3,783 | $21.74 | $1.52 | $2.28 | | $4.74 | | |

- 105 -
