## APPENDIX A

| LINK CODE | TITLE CODE | TITLE NAME | MONTHLY MINIMUM RATE | HOURLY MINIMUM RATE | MONTHLY MIDPOINT RATE | HOURLY MIDPOINT RATE | MONTHLY MAXIMUM RATE | HOURLY MAXIMUM RATE | SHIFT DIFFERENTIAL EVE | SHIFT DIFFERENTIAL NIGHT | SHIFT DIFFERENTIAL WKEND | ON CALL RATES 1 | ON CALL RATES 2 | ON CALL RATES 3 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| | | **CAMPUS - Irvine- cont** | | | | | | | | | | | | |
| | | **Date - January and July 2004** | | | | | | | | | | | | |
| 033 | 8946 | PHYSICAL THERAPY ASSISTANT I | $2,692 | $15.47 | $3,238 | $18.61 | $3,783 | $21.74 | $1.32 | $1.98 | | $4.12 | | |
| 033 | 8947 | CERT OCCUP THERAPY ASST III | $3,423 | $19.67 | $3,906 | $22.45 | $4,388 | $25.22 | $1.67 | $2.51 | | $5.22 | | |
| 033 | 8948 | CERT OCCUP THERAPY ASST II | $2,967 | $17.05 | $3,491 | $20.06 | $4,012 | $23.06 | $1.45 | $2.17 | | $4.53 | | |
| 033 | 8949 | CERT OCCUP THERAPY ASST I | $2,692 | $15.47 | $3,238 | $18.61 | $3,783 | $21.74 | $1.32 | $1.98 | | $4.12 | | |
| 033 | 8951 | PHYSICAL THERAPY ASST PD | | $21.40 | | | | | $1.45 | $2.17 | | $4.53 | | |
| 033 | 8952 | CERT OCCUP THERAPY ASST PD | | $21.40 | | | | | $1.45 | $2.17 | | $4.53 | | |
| 034 | 8987 | TECHNOLOGIST CYTOGENETIC II | $3,591 | $20.64 | $4,192 | $24.09 | $4,792 | $27.54 | $1.75 | $2.63 | | $5.47 | | |
| 034 | 8988 | TECHNOLOGIST, CYTOGENETIC I | $3,423 | $19.67 | $4,037 | $23.20 | $4,651 | $26.73 | $1.59 | $2.39 | | $4.98 | | |
| 034 | 9065 | HISTOTECHNOLOGIST I | $3,109 | $17.87 | $3,561 | $20.47 | $4,012 | $23.06 | $1.26 | $1.89 | | $3.93 | | |
| 034 | 9066 | HISTOTECHNOLOGIST II | $3,423 | $19.67 | $3,970 | $22.82 | $4,517 | $25.96 | $1.38 | $2.07 | | $4.31 | | |
| 034 | 9067 | HISTOTECHNOLOGIST III | $3,762 | $21.62 | $4,348 | $24.99 | $4,935 | $28.36 | $1.52 | $2.28 | | $4.74 | | |
| | | **CAMPUS - Los Angeles** | | | | | | | | | | | | |
| | | **Date: January and February 2004** | | | | | | | | | | | | |
| 005 | 4662 | BILLER, PATIENT IV | $2,716 | $15.61 | $3,261 | $18.74 | $3,804 | $21.86 | $0.85 | $1.25 | $0.60 | | | |
| 005 | 4663 | BILLER, PATIENT III | $2,575 | $14.80 | $3,090 | $17.76 | $3,607 | $20.73 | $0.85 | $1.25 | $0.60 | | | |
| 005 | 4664 | BILLER, PATIENT II | $2,304 | $13.24 | $2,765 | $15.89 | $3,226 | $18.54 | $0.85 | $1.25 | $0.60 | | | |
| 005 | 4665 | BILLER, PATIENT I | $1,963 | $11.28 | $2,354 | $13.53 | $2,747 | $15.79 | $0.85 | $1.25 | $0.60 | | | |
| 005 | 9031 | ADMITTING WORKER, PRIN | $2,123 | $12.20 | $2,547 | $14.64 | $2,972 | $17.08 | $0.85 | $1.25 | $0.60 | | | |
| 005 | 9032 | ADMITTING WORKER, SR | $1,888 | $10.85 | $2,265 | $13.02 | $2,643 | $15.19 | $0.85 | $1.25 | $0.60 | | | |
| 005 | 9033 | ADMITTING WORKER | $1,686 | $9.69 | $2,024 | $11.63 | $2,361 | $13.57 | $0.85 | $1.25 | $0.60 | | | |
| 005 | 9034 | ADMITTING WORKER, PER DIEM | | $19.69 | | | | | $0.85 | $1.25 | $0.60 | | | |
| 006 | 4685 | TRANSCRIBER, HOSP MED, SR, PD | | $24.15 | | | | | $0.85 | $1.25 | $0.60 | | | |
| 006 | 4686 | TRANSCRIBER,HOSP MED, PER DIEM | | $22.21 | | | | | $0.85 | $1.25 | $0.60 | | | |
| 006 | 4687 | TRANSCRIBER, HOSP MED, SR | $2,486 | $14.29 | $2,984 | $17.15 | $3,482 | $20.01 | $0.85 | $1.25 | $0.60 | | | |
| 006 | 4688 | TRANSCRIBER, HOSP MED | $2,306 | $13.25 | $2,767 | $15.90 | $3,228 | $18.55 | $0.85 | $1.25 | $0.60 | | | |
| 006 | 4716 | ABSTRACTOR, PATIENT RECORD IV | $3,238 | $18.61 | $3,887 | $22.34 | $4,534 | $26.06 | $0.85 | $1.25 | $0.60 | | | |
| 006 | 4717 | ABSTRACTOR, PATIENT RECORD III | $2,855 | $16.41 | $3,426 | $19.69 | $3,997 | $22.97 | $0.85 | $1.25 | $0.60 | | | |
| 006 | 4718 | ABSTRACTOR, PATIENT RECORD II | $2,537 | $14.58 | $3,043 | $17.49 | $3,550 | $20.40 | $0.85 | $1.25 | $0.60 | | | |
| 006 | 4719 | ABSTRACTOR, PATIENT RECORD I | $2,265 | $13.02 | $2,720 | $15.63 | $3,172 | $18.23 | $0.85 | $1.25 | $0.60 | | | |

- 109 -
