## APPENDIX A

| | | | | | | | | | | | |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| | | | | | | **SHIFT** | | | **ON CALL RATES** | | |
| **LINK** | **TITLE** | **TITLE NAME** | **STEP** | **MONTHLY** | **HOURLY** | **DIFFERENTIAL** | | | | | |
| **CODE** | **CODE** | | | **RATE** | **RATE** | **EVE** | **NIGHT** | **WKEND** | **1** | **2** | **3** |

**SAN FRANCISCO – cont.**
**January 1, 2004**

| 014 | 9023 | TECHNOLOGIST,RADIOLOGIC | 10. | $5,419 | $31.14 | $3.00 | $4.50 | $1.50 | 50% | | |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 014 | 9023 | TECHNOLOGIST,RADIOLOGIC | 11. | $5,488 | $31.54 | $3.00 | $4.50 | $1.50 | 50% | | |
| 014 | 9023 | TECHNOLOGIST,RADIOLOGIC | 12. | $5,556 | $31.93 | $3.00 | $4.50 | $1.50 | 50% | | |
| 014 | 9023 | TECHNOLOGIST,RADIOLOGIC | 13. | $5,625 | $32.33 | $3.00 | $4.50 | $1.50 | 50% | | |
| 014 | 9023 | TECHNOLOGIST,RADIOLOGIC | 14. | $5,696 | $32.74 | $3.00 | $4.50 | $1.50 | 50% | | |
| 014 | 9023 | TECHNOLOGIST,RADIOLOGIC | 15. | $5,767 | $33.14 | $3.00 | $4.50 | $1.50 | 50% | | |
| 014 | 9023 | TECHNOLOGIST,RADIOLOGIC | 16. | $5,838 | $33.55 | $3.00 | $4.50 | $1.50 | 50% | | |
| 014 | 9023 | TECHNOLOGIST,RADIOLOGIC | 17. | $5,912 | $33.98 | $3.00 | $4.50 | $1.50 | 50% | | |
| 014 | 9023 | TECHNOLOGIST,RADIOLOGIC | 18. | $5,985 | $34.40 | $3.00 | $4.50 | $1.50 | 50% | | |
| 014 | 9023 | TECHNOLOGIST,RADIOLOGIC | 19. | $6,061 | $34.83 | $3.00 | $4.50 | $1.50 | 50% | | |
| 014 | 9023 | TECHNOLOGIST,RADIOLOGIC | 20. | $6,136 | $35.26 | $3.00 | $4.50 | $1.50 | 50% | | |
| 014 | 9023 | TECHNOLOGIST,RADIOLOGIC | 21. | $6,213 | $35.71 | $3.00 | $4.50 | $1.50 | 50% | | |
| 014 | 9023 | TECHNOLOGIST,RADIOLOGIC | 22. | $6,290 | $36.15 | $3.00 | $4.50 | $1.50 | 50% | | |
| 014 | 9024 | TECHNOLOGIST,RADIOLOG,TRAINEE | 1. | $3,800 | $21.84 | $3.00 | $4.50 | $1.50 | 50% | | |
| 014 | 9025 | TECHNOLOGIST,RADIOLOG,PER DIEM | 1. | $6,034 | $34.68 | $3.00 | $4.50 | $1.50 | 50% | | |
| 014 | 9026 | TECHNOLOGIST,RAD,PRIN,PER DIEM | 1. | $6,815 | $39.17 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9048 | THERAPIST, RESPIRATORY, II | 1. | $5,410 | $31.09 | $3.00 | $4.50 | $1.50 | 50% | | |
