## APPENDIX A

| LINK CODE | TITLE CODE | TITLE NAME | MONTHLY MINIMUM RATE | HOURLY MINIMUM RATE | MONTHLY MIDPOINT RATE | HOURLY MIDPOINT RATE | MONTHLY MAXIMUM RATE | HOURLY MAXIMUM RATE | SHIFT DIFFERENTIAL EVE | SHIFT DIFFERENTIAL NIGHT | SHIFT DIFFERENTIAL WKEND | ON CALL RATES 1 | ON CALL RATES 2 | ON CALL RATES 3 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| | | **CAMPUS - Los Angeles - cont.** | | | | | | | | | | | | |
| | | Date - January and February 2004 | | | | | | | | | | | | |
| 019 | 9072 | RADIATION EQUIP SPECIALIST, SR | $4,164 | $23.93 | $4,997 | $28.72 | $5,829 | $33.50 | $1.10 | $1.75 | $0.60 | | | |
| 019 | 9073 | RADIATION EQUIP SPECIALIST | $3,623 | $20.82 | $4,347 | $24.98 | $5,072 | $29.15 | $1.10 | $1.75 | $0.60 | | | |
| 020 | 5418 | TECH, REGISTERED DIETETIC, PD | | $16.95 | | | | | $0.85 | $1.25 | $0.60 | | | |
| 020 | 5419 | DIETETIC TECH, REGISTERED | $2,132 | $12.25 | $2,558 | $14.70 | $2,984 | $17.15 | $0.85 | $1.25 | $0.60 | | | |
| 020 | 5430 | DIETETIC ASSISTANT | $1,931 | $11.10 | $2,318 | $13.32 | $2,704 | $15.54 | $0.85 | $1.25 | $0.60 | | | |
| 033 | 8944 | PHYSICAL THERAPY ASSISTANT III | $3,423 | $19.67 | $4,106 | $23.60 | $4,792 | $27.54 | $0.85 | $1.25 | $0.60 | $3.95 | | |
| 033 | 8945 | PHYSICAL THERAPY ASSISTANT II | $3,132 | $18.00 | $3,758 | $21.60 | $4,385 | $25.20 | $0.85 | $1.25 | $0.60 | $3.95 | | |
| 033 | 8946 | PHYSICAL THERAPY ASSISTANT I | $2,876 | $16.53 | $3,452 | $19.84 | $4,026 | $23.14 | $0.85 | $1.25 | $0.60 | $3.95 | | |
| 033 | 8947 | CERT OCCUP THERAPY ASST III | $3,423 | $19.67 | $4,106 | $23.60 | $4,792 | $27.54 | $0.85 | $1.25 | $0.60 | $3.95 | | |
| 033 | 8948 | CERT OCCUP THERAPY ASST II | $3,132 | $18.00 | $3,758 | $21.60 | $4,385 | $25.20 | $0.85 | $1.25 | $0.60 | $3.95 | | |
| 033 | 8949 | CERT OCCUP THERAPY ASST I | $2,876 | $16.53 | $3,452 | $19.84 | $4,026 | $23.14 | $0.85 | $1.25 | $0.60 | $3.95 | | |
| 033 | 8951 | PHYSICAL THERAPY ASST PD | | $28.08 | | | | | $0.85 | $1.25 | $0.60 | | | |
| 033 | 8952 | CERT OCCUP THERAPY ASST PD | | $28.08 | | | | | $0.85 | $1.25 | $0.60 | | | |
| 034 | 8987 | TECHNOLOGIST CYTOGENETIC II | $4,087 | $23.49 | $4,914 | $28.24 | $5,740 | $32.99 | $1.90 | $2.80 | $0.60 | $5.05 | | |
| 034 | 8988 | TECHNOLOGIST, CYTOGENETIC I | $3,725 | $21.41 | $4,470 | $25.69 | $5,215 | $29.97 | $1.90 | $2.80 | $0.60 | $5.05 | | |
| 034 | 8989 | TECHNOLOGIST, CYTO, TRAINEE | $3,090 | $17.76 | $3,710 | $21.32 | $4,327 | $24.87 | $1.90 | $2.80 | $0.60 | $5.05 | | |
| 034 | 8996 | TECHNOLOGIST, CYTOGENETIC, PD | | $30.21 | | | | | $1.90 | $2.80 | $0.60 | $5.05 | | |
| 034 | 9057 | HISTOTECHNOLOGIST, LEAD | $3,833 | $22.03 | $4,599 | $26.43 | $5,366 | $30.84 | $1.10 | $1.75 | $0.60 | $8.00 | | |
| 034 | 9065 | HISTOTECHNOLOGIST I | $3,033 | $17.43 | $3,640 | $20.92 | $4,246 | $24.40 | $1.10 | $1.75 | $0.60 | $8.00 | | |
| 034 | 9066 | HISTOTECHNOLOGIST II | $3,322 | $19.09 | $3,986 | $22.91 | $4,651 | $26.73 | $1.10 | $1.75 | $0.60 | $8.00 | | |
| 034 | 9067 | HISTOTECHNOLOGIST III | $3,651 | $20.98 | $4,381 | $25.18 | $5,110 | $29.37 | $1.10 | $1.75 | $0.60 | $8.00 | | |
| | | **CAMPUS - Riverside** | | | | | | | | | | | | |
| | | Date - September 1, 2004 | | | | | | | | | | | | |
| 011 | 8904 | HOSPITAL ASST, SR | $1,820 | $10.46 | $2,168 | $12.46 | $2,514 | $14.45 | | | | | | |
| 011 | 8905 | HOSPITAL ASST | $1,694 | $9.74 | $2,017 | $11.59 | $2,341 | $13.45 | | | | | | |
| 012 | 9190 | DENTAL HYGIENIST | $4,450 | $25.57 | $5,551 | $31.90 | $6,650 | $38.22 | | | | | | |
| 012 | 9196 | DENTAL ASST, REGISTERED | $2,337 | $13.43 | $2,807 | $16.13 | $3,275 | $18.82 | | | | | | |
| 012 | 9199 | DENTAL ASST | $1,825 | $10.49 | $2,163 | $12.43 | $2,500 | $14.37 | | | | | | |
| 014 | 9021 | TECHNOLOGIST,RADIOLOGIC,PRIN | $3,567 | $20.50 | $4,246 | $24.40 | $4,926 | $28.31 | | | | | | |

- 115 -
