Identifier,Response,Time Taken,Input Tokens,Reasoning Tokens,Output Tokens,Reasoning Effort,Successful,Error Log,Web Search Sources,Cost,Batch,Pair,IdA,IdB
e596d987,,,53098,,,,False,['Connection error.'],,0.0026549,0,20,CBA_04,CBA_07
e1b9fb53,,,30005,,,,False,['Connection error.'],,0.00150025,0,24,CBA_08,CBA_17
46ef109e,,,64530,,,,False,['Connection error.'],,0.0032265,0,18,CBA_02,CBA_11
391343c4,,,55911,,,,False,['Connection error.'],,0.0027955500000000004,0,4,CBA_12,CBA_14
3faeef87,,,11774,,,,False,['Connection error.'],,0.0005887,0,6,CBA_18,CBA_19
b091eddc,,,37529,,,,False,['Connection error.'],,0.00187645,0,8,CBA_03,CBA_19
a49ceb64,,,71887,,,,False,['Connection error.'],,0.0035943500000000005,0,17,CBA_02,CBA_06
d21514d1,,,22454,,,,False,['Connection error.'],,0.0011227,0,29,CBA_07,CBA_20
a503be34,,,33316,,,,False,['Connection error.'],,0.0016658,0,13,CBA_06,CBA_11
a8a9f463,,,75217,,,,False,['Connection error.'],,0.0037608500000000005,0,11,CBA_03,CBA_09
a3d13ff5,,,49462,,,,False,['Connection error.'],,0.0024731,0,9,CBA_09,CBA_18
45614673,,,48394,,,,False,['Connection error.'],,0.0024197000000000003,0,14,CBA_07,CBA_10
1b0b51ba,,,57985,,,,False,['Connection error.'],,0.0028992500000000004,0,3,CBA_12,CBA_15
bec2ac98,,,23717,,,,False,['Connection error.'],,0.00118585,0,31,CBA_14,CBA_20
a7bcf81c,,,68025,,,,False,['Connection error.'],,0.00340125,0,2,CBA_05,CBA_14
3a48c1ac,,,44003,,,,False,['Connection error.'],,0.00220015,0,28,CBA_01,CBA_08
ed4ce610,,,27365,,,,False,['Connection error.'],,0.0013682500000000001,0,27,CBA_11,CBA_17
af303f84,,,70099,,,,False,['Connection error.'],,0.0035049499999999997,0,1,CBA_05,CBA_15
84a2e822,,,32447,,,,False,['Connection error.'],,0.0016223499999999998,0,12,CBA_01,CBA_20
d6380420,,,48720,,,,False,['Connection error.'],,0.0024360000000000002,0,30,CBA_01,CBA_06
ffe65c83,,,41381,,,,False,['Connection error.'],,0.0020690500000000002,0,5,CBA_14,CBA_15
c4861a9e,,,52915,,,,False,['Connection error.'],,0.00264575,0,22,CBA_08,CBA_16
b1d76993,,,54557,,,,False,['Connection error.'],,0.0027278500000000004,0,21,CBA_04,CBA_13
235761d5,,,57632,,,,False,['Connection error.'],,0.0028816000000000002,0,26,CBA_06,CBA_16
d37e4169,,,49853,,,,False,['Connection error.'],,0.0024926500000000003,0,16,CBA_10,CBA_13
f936404a,,,30524,,,,False,['Connection error.'],,0.0015262000000000001,0,10,CBA_03,CBA_18
21969364,,,38240,,,,False,['Connection error.'],,0.0019120000000000003,0,15,CBA_07,CBA_13
d9f00749,,,56467,,,,False,['Connection error.'],,0.0028233500000000005,0,7,CBA_09,CBA_19
898fb3e1,,,51681,,,,False,['Connection error.'],,0.00258405,0,23,CBA_16,CBA_17
a1af08fa,,,67170,,,,False,['Connection error.'],,0.0033585,0,25,CBA_02,CBA_08
81e64b33,,,84629,,,,False,['Connection error.'],,0.00423145,0,0,CBA_05,CBA_12
20085a6d,,,64711,,,,False,['Connection error.'],,0.0032355500000000002,0,19,CBA_04,CBA_10
