## Article 12

**EFFECTIVE MAY 25, 2009**

**WAGE SCHEDULE 1A**

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $9.30 | | | | | | | | |
| 2 | $9.93 | | | | | | | | |
| 3 | $10.59 | | | | | | | | |
| 4 | $11.31 | | | | | | | | |
| 5 | $12.07 | | | | | | | | |
| 6 | $12.88 | | | | | | | | |
| 7 | $13.74 | 1 | $16.02 | | | | | | |
| 8 | $14.67 | 2 | $17.06 | | | | | | |
| 9 | $15.65 | 3 | $18.16 | | | | | | |
| 10 | $16.71 | 4 | $19.34 | | | | | | |
| 11 | $17.83 | 5 | $20.59 | 1 | $19.33 | | | | |
| 12 | $19.03 | 6 | $21.92 | 2 | $21.78 | | | | |
| 13 | $20.31 | 7 | $23.34 | 3 | $24.55 | | | | |
| 14 | $21.67 | 8 | $24.85 | 4 | $27.66 | | | | |
| 15 | $23.13 | 9 | $26.48 | 5 | $31.17 | 1 | $28.47 | 1 | $29.90 |
| PB | 109 | | 114 | | 120 | | 120 | | 120 |

**EFFECTIVE MAY 23, 2010**

**WAGE SCHEDULE 1A**

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $9.49 | | | | | | | | |
| 2 | $10.13 | | | | | | | | |
| 3 | $10.81 | | | | | | | | |
| 4 | $11.53 | | | | | | | | |
| 5 | $12.31 | | | | | | | | |
| 6 | $13.14 | | | | | | | | |
| 7 | $14.02 | 1 | $16.34 | | | | | | |
| 8 | $14.96 | 2 | $17.40 | | | | | | |
| 9 | $15.97 | 3 | $18.52 | | | | | | |
| 10 | $17.04 | 4 | $19.72 | | | | | | |
| 11 | $18.19 | 5 | $21.00 | 1 | $19.72 | | | | |
| 12 | $19.41 | 6 | $22.38 | 2 | $22.22 | | | | |
| 13 | $20.71 | 7 | $23.81 | 3 | $25.04 | | | | |
| 14 | $22.10 | 8 | $25.35 | 4 | $28.21 | | | | |
| 15 | $23.59 | 9 | $26.99 | 5 | $31.79 | 1 | $29.04 | 1 | $30.50 |
| PB | 109 | | 114 | | 120 | | 120 | | 120 |

38
