Article 12

**EFFECTIVE MAY 24, 2009**

**WAGE SCHEDULE 2C**

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $9.83 | | | | | | | | |
| 2 | $10.49 | | | | | | | | |
| 3 | $11.20 | | | | | | | | |
| 4 | $11.98 | | | | | | | | |
| 5 | $12.78 | | | | | | | | |
| 6 | $13.62 | | | | | | | | |
| 7 | $14.54 | 1 | $16.99 | | | | | | |
| 8 | $15.53 | 2 | $18.11 | | | | | | |
| 9 | $16.57 | 3 | $19.30 | | | | | | |
| 10 | $17.69 | 4 | $20.58 | | | | | | |
| 11 | $18.88 | 5 | $21.92 | 1 | $20.38 | | | | |
| 12 | $20.18 | 6 | $23.38 | 2 | $23.01 | | | | |
| 13 | $21.52 | 7 | $24.89 | 3 | $25.97 | | | | |
| 14 | $22.97 | 8 | $26.53 | 4 | $29.31 | | | | |
| 15 | $24.52 | 9 | $28.27 | 5 | $33.09 | 1 | $30.12 | 1 | $31.53 |
| PB | 111 | | 116 | | 123 | | 123 | | 123 |

**EFFECTIVE MAY 23, 2010**

**WAGE SCHEDULE 2C**

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $10.03 | | | | | | | | |
| 2 | $10.71 | | | | | | | | |
| 3 | $11.43 | | | | | | | | |
| 4 | $12.20 | | | | | | | | |
| 5 | $13.02 | | | | | | | | |
| 6 | $13.90 | | | | | | | | |
| 7 | $14.84 | 1 | $17.33 | | | | | | |
| 8 | $15.84 | 2 | $18.47 | | | | | | |
| 9 | $16.91 | 3 | $19.68 | | | | | | |
| 10 | $18.05 | 4 | $20.98 | | | | | | |
| 11 | $19.26 | 5 | $22.36 | 1 | $20.79 | | | | |
| 12 | $20.58 | 6 | $23.83 | 2 | $23.47 | | | | |
| 13 | $21.95 | 7 | $25.39 | 3 | $26.49 | | | | |
| 14 | $23.43 | 8 | $27.08 | 4 | $29.90 | | | | |
| 15 | $25.01 | 9 | $28.84 | 5 | $33.75 | 1 | $30.72 | 1 | $32.18 |
| PB | 111 | | 116 | | 123 | | 123 | | 123 |

57
