## Article 12

**EFFECTIVE MAY 24, 2009**

**WAGE SCHEDULE 2**

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $9.39 | | | | | | | | |
| 2 | $10.03 | | | | | | | | |
| 3 | $10.71 | | | | | | | | |
| 4 | $11.44 | | | | | | | | |
| 5 | $12.21 | | | | | | | | |
| 6 | $13.04 | | | | | | | | |
| 7 | $13.93 | 1 | $16.48 | | | | | | |
| 8 | $14.88 | 2 | $17.53 | | | | | | |
| 9 | $15.89 | 3 | $18.65 | | | | | | |
| 10 | $16.97 | 4 | $19.84 | | | | | | |
| 11 | $18.12 | 5 | $21.11 | 1 | $19.60 | | | | |
| 12 | $19.35 | 6 | $22.45 | 2 | $22.30 | | | | |
| 13 | $20.67 | 7 | $23.88 | 3 | $25.11 | | | | |
| 14 | $22.07 | 8 | $25.41 | 4 | $28.27 | | | | |
| 15 | $23.57 | 9 | $27.03 | 5 | $31.84 | 1 | $29.21 | 1 | $30.32 |
| PB | 110 | | 115 | | 121 | | 121 | | 121 |

**EFFECTIVE MAY 23, 2010**

**WAGE SCHEDULE 2**

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $9.58 | | | | | | | | |
| 2 | $10.23 | | | | | | | | |
| 3 | $10.93 | | | | | | | | |
| 4 | $11.67 | | | | | | | | |
| 5 | $12.46 | | | | | | | | |
| 6 | $13.31 | | | | | | | | |
| 7 | $14.21 | 1 | $16.81 | | | | | | |
| 8 | $15.18 | 2 | $17.88 | | | | | | |
| 9 | $16.21 | 3 | $19.02 | | | | | | |
| 10 | $17.31 | 4 | $20.24 | | | | | | |
| 11 | $18.48 | 5 | $21.53 | 1 | $20.20 | | | | |
| 12 | $19.74 | 6 | $22.90 | 2 | $22.75 | | | | |
| 13 | $21.08 | 7 | $24.36 | 3 | $25.61 | | | | |
| 14 | $22.51 | 8 | $25.92 | 4 | $28.84 | | | | |
| 15 | $24.04 | 9 | $27.57 | 5 | $32.48 | 1 | $29.79 | 1 | $30.93 |
| PB | 110 | | 115 | | 121 | | 121 | | 121 |

43
