Article 12

**EFFECTIVE MAY 22, 2011**

**WAGE SCHEDULE 2A**

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $9.86 | | | | | | | | |
| 2 | $10.53 | | | | | | | | |
| 3 | $11.25 | | | | | | | | |
| 4 | $12.02 | | | | | | | | |
| 5 | $12.84 | | | | | | | | |
| 6 | $13.72 | | | | | | | | |
| 7 | $14.66 | 1 | $17.31 | | | | | | |
| 8 | $15.66 | 2 | $18.43 | | | | | | |
| 9 | $16.73 | 3 | $19.63 | | | | | | |
| 10 | $17.87 | 4 | $20.90 | | | | | | |
| 11 | $19.09 | 5 | $22.26 | 1 | $20.84 | | | | |
| 12 | $20.39 | 6 | $23.70 | 2 | $23.50 | | | | |
| 13 | $21.78 | 7 | $25.24 | 3 | $26.49 | | | | |
| 14 | $23.27 | 8 | $26.88 | 4 | $29.87 | | | | |
| 15 | $24.86 | 9 | $28.62 | 5 | $33.68 | 1 | $30.82 | 1 | $32.07 |
| PB | 110 | | 116 | | 122 | | 122 | | 122 |

49
