## Article 12

**EFFECTIVE MAY 29, 2005**

**WAGE SCHEDULE 2E**

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $9.17 | | | | | | | | |
| 2 | $9.78 | | | | | | | | |
| 3 | $10.44 | | | | | | | | |
| 4 | $11.14 | | | | | | | | |
| 5 | $11.88 | | | | | | | | |
| 6 | $12.68 | | | | | | | | |
| 7 | $13.53 | 1 | $15.79 | | | | | | |
| 8 | $14.43 | 2 | $16.67 | | | | | | |
| 9 | $15.40 | 3 | $18.02 | | | | | | |
| 10 | $16.43 | 4 | $19.25 | | | | | | |
| 11 | $17.53 | 5 | $20.57 | 1 | $19.02 | | | | |
| 12 | $18.71 | 6 | $21.97 | 2 | $21.53 | | | | |
| 13 | $19.96 | 7 | $23.47 | 3 | $24.36 | | | | |
| 14 | $21.29 | 8 | $25.08 | 4 | $27.58 | | | | |
| 15 | $22.72 | 9 | $26.79 | 5 | $31.21 | 1 | $28.11 | 1 | $29.82 |
| PB | 111 | | 118 | | 124 | | 124 | | 124 |

**EFFECTIVE MAY 28, 2006**

**WAGE SCHEDULE 2E**

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $9.40 | | | | | | | | |
| 2 | $10.03 | | | | | | | | |
| 3 | $10.70 | | | | | | | | |
| 4 | $11.42 | | | | | | | | |
| 5 | $12.18 | | | | | | | | |
| 6 | $13.00 | | | | | | | | |
| 7 | $13.87 | 1 | $16.18 | | | | | | |
| 8 | $14.80 | 2 | $17.29 | | | | | | |
| 9 | $15.79 | 3 | $18.47 | | | | | | |
| 10 | $16.84 | 4 | $19.73 | | | | | | |
| 11 | $17.97 | 5 | $21.08 | 1 | $19.50 | | | | |
| 12 | $19.17 | 6 | $22.52 | 2 | $22.07 | | | | |
| 13 | $20.46 | 7 | $24.06 | 3 | $24.98 | | | | |
| 14 | $21.83 | 8 | $25.70 | 4 | $28.27 | | | | |
| 15 | $23.29 | 9 | $27.46 | 5 | $31.99 | 1 | $28.81 | 1 | $30.57 |
| PB | 111 | | 118 | | 124 | | 124 | | 124 |

64
