## Article 12

**EFFECTIVE MAY 24, 2009**

**WAGE SCHEDULE 2A**

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $9.48 | | | | | | | | |
| 2 | $10.13 | | | | | | | | |
| 3 | $10.82 | | | | | | | | |
| 4 | $11.56 | | | | | | | | |
| 5 | $12.35 | | | | | | | | |
| 6 | $13.19 | | | | | | | | |
| 7 | $14.08 | 1 | $16.84 | | | | | | |
| 8 | $15.05 | 2 | $17.72 | | | | | | |
| 9 | $16.08 | 3 | $18.87 | | | | | | |
| 10 | $17.17 | 4 | $20.09 | | | | | | |
| 11 | $18.35 | 5 | $21.40 | 1 | $20.03 | | | | |
| 12 | $19.60 | 6 | $22.78 | 2 | $22.58 | | | | |
| 13 | $20.93 | 7 | $24.28 | 3 | $25.48 | | | | |
| 14 | $22.36 | 8 | $25.83 | 4 | $28.71 | | | | |
| 15 | $23.89 | 9 | $27.51 | 5 | $32.37 | 1 | $29.63 | 1 | $30.62 |
| PB | 110 | | 118 | | 122 | | 122 | | 122 |

**EFFECTIVE MAY 23, 2010**

**WAGE SCHEDULE 2A**

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $9.67 | | | | | | | | |
| 2 | $10.33 | | | | | | | | |
| 3 | $11.04 | | | | | | | | |
| 4 | $11.79 | | | | | | | | |
| 5 | $12.59 | | | | | | | | |
| 6 | $13.45 | | | | | | | | |
| 7 | $14.37 | 1 | $16.97 | | | | | | |
| 8 | $15.35 | 2 | $18.07 | | | | | | |
| 9 | $16.40 | 3 | $19.24 | | | | | | |
| 10 | $17.52 | 4 | $20.49 | | | | | | |
| 11 | $18.71 | 5 | $21.82 | 1 | $20.43 | | | | |
| 12 | $19.99 | 6 | $23.24 | 2 | $23.04 | | | | |
| 13 | $21.38 | 7 | $24.74 | 3 | $25.97 | | | | |
| 14 | $22.81 | 8 | $26.35 | 4 | $29.29 | | | | |
| 15 | $24.37 | 9 | $28.08 | 5 | $33.02 | 1 | $30.22 | 1 | $31.44 |
| PB | 110 | | 118 | | 122 | | 122 | | 122 |

48
