Article 12

**EFFECTIVE MAY 27, 2007**

**WAGE SCHEDULE 2B**

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $9.20 | | | | | | | | |
| 2 | $9.83 | | | | | | | | |
| 3 | $10.50 | | | | | | | | |
| 4 | $11.22 | | | | | | | | |
| 5 | $11.98 | | | | | | | | |
| 6 | $12.80 | | | | | | | | |
| 7 | $13.68 | 1 | $16.01 | | | | | | |
| 8 | $14.61 | 2 | $17.07 | | | | | | |
| 9 | $15.61 | 3 | $18.20 | | | | | | |
| 10 | $16.67 | 4 | $19.40 | | | | | | |
| 11 | $17.81 | 5 | $20.69 | 1 | $19.30 | | | | |
| 12 | $19.03 | 6 | $22.08 | 2 | $21.78 | | | | |
| 13 | $20.33 | 7 | $23.52 | 3 | $24.57 | | | | |
| 14 | $21.72 | 8 | $25.07 | 4 | $27.72 | | | | |
| 15 | $23.20 | 9 | $26.73 | 5 | $31.28 | 1 | $28.70 | 1 | $29.84 |
| PB | 118 | | 118 | | 122 | | 122 | | 122 |

**EFFECTIVE MAY 25, 2008**

**WAGE SCHEDULE 2B**

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $9.38 | | | | | | | | |
| 2 | $10.02 | | | | | | | | |
| 3 | $10.71 | | | | | | | | |
| 4 | $11.44 | | | | | | | | |
| 5 | $12.22 | | | | | | | | |
| 6 | $13.05 | | | | | | | | |
| 7 | $13.94 | 1 | $16.33 | | | | | | |
| 8 | $14.90 | 2 | $17.41 | | | | | | |
| 9 | $15.92 | 3 | $18.56 | | | | | | |
| 10 | $17.00 | 4 | $19.79 | | | | | | |
| 11 | $18.16 | 5 | $21.10 | 1 | $19.89 | | | | |
| 12 | $19.40 | 6 | $22.49 | 2 | $22.22 | | | | |
| 13 | $20.73 | 7 | $23.98 | 3 | $25.07 | | | | |
| 14 | $22.15 | 8 | $25.57 | 4 | $28.28 | | | | |
| 15 | $23.68 | 9 | $27.26 | 5 | $31.91 | 1 | $29.27 | 1 | $30.44 |
| PB | 118 | | 118 | | 122 | | 122 | | 122 |

52
