## Article 12

**EFFECTIVE MAY 22, 2011**

**WAGE SCHEDULE 1A**

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $9.68 | | | | | | | | |
| 2 | $10.33 | | | | | | | | |
| 3 | $11.02 | | | | | | | | |
| 4 | $11.77 | | | | | | | | |
| 5 | $12.56 | | | | | | | | |
| 6 | $13.40 | | | | | | | | |
| 7 | $14.30 | 1 | $16.67 | | | | | | |
| 8 | $15.25 | 2 | $17.75 | | | | | | |
| 9 | $16.29 | 3 | $18.90 | | | | | | |
| 10 | $17.38 | 4 | $20.12 | | | | | | |
| 11 | $18.55 | 5 | $21.42 | 1 | $20.11 | | | | |
| 12 | $19.80 | 6 | $22.81 | 2 | $22.66 | | | | |
| 13 | $21.13 | 7 | $24.29 | 3 | $25.54 | | | | |
| 14 | $22.55 | 8 | $25.86 | 4 | $28.76 | | | | |
| 15 | $24.08 | 9 | $27.53 | 5 | $32.43 | 1 | $29.62 | 1 | $31.11 |
| PB | 109 | | 114 | | 120 | | 120 | | 120 |

39
