National Memorandum

| Level / Grade / Title | Level Equalization Group | Time In- Title/ Grade | Time In Location |
| :--- | :--- | :--- | :--- |
| SVT | 5 | 9 | 9 |
| SVT | 5 | 36 | 12 |
| TA | 1 | 9 | 9 |
| TD | 5 | 36 | 12 |
| TDTR | 4 | 36 | 12 |
| TD1 (Trades Group 1) | 5 | 36 | 12 |
| TD2 (Trades Group 2) | 6 | 36 | 12 |
| TD2A | 6 | 36 | 12 |
| TECH | 6 | 12 | 12 |
| TECH | 6 | 36 | 12 |
| TG-3 | 1 | 9 | 9 |
| TG-4 | 2 | 12 | 12 |
| TG-5 | 3 | 15 | 12 |
| TG-5+ | 3 | 15 | 12 |
| TG-6 | 4 | 18 | 12 |
| TG-7 | 5 | 24 | 12 |
| TIER 1 | 1 | 9 | 9 |
| TIER 2 | 2 | 9 | 9 |
| TIER 3 | 3 | 15 | 12 |
| TIER 4 | 4 | 18 | 12 |
| TIER 5 | 5 | 36 | 12 |
| TLA (Tester A) | 3 | 24 | 12 |
| TLB (Tester B) | 4 | 36 | 12 |
| TLC (Tester C) | 5 | 36 | 12 |
| TR GR2 | 6 | 36 | 12 |
| W1 | 1 | 9 | 9 |
| W2 | 2 | 9 | 9 |
| W3 | 3 | 15 | 12 |
| W4 | 4 | 18 | 12 |
| W5 | 5 | 24 | 12 |
| Added January 9, 2003 | | | |
| DSC - Data Services Coordinator | 3 | 15 | 12 |

369
