## Article 12

**EFFECTIVE MAY 27, 2007**

**WAGE SCHEDULE 2**

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $9.03 | | | | | | | | |
| 2 | $9.84 | | | | | | | | |
| 3 | $10.30 | | | | | | | | |
| 4 | $11.00 | | | | | | | | |
| 5 | $11.74 | | | | | | | | |
| 6 | $12.54 | | | | | | | | |
| 7 | $13.39 | 1 | $15.84 | | | | | | |
| 8 | $14.30 | 2 | $16.85 | | | | | | |
| 9 | $15.28 | 3 | $17.93 | | | | | | |
| 10 | $16.31 | 4 | $19.07 | | | | | | |
| 11 | $17.42 | 5 | $20.29 | 1 | $19.03 | | | | |
| 12 | $18.61 | 6 | $21.58 | 2 | $21.43 | | | | |
| 13 | $19.87 | 7 | $22.96 | 3 | $24.14 | | | | |
| 14 | $21.22 | 8 | $24.42 | 4 | $27.18 | | | | |
| 15 | $22.68 | 9 | $25.99 | 5 | $30.61 | 1 | $28.08 | 1 | $29.15 |
| PB | 110 | | 115 | | 121 | | 121 | | 121 |

**EFFECTIVE MAY 25, 2008**

**WAGE SCHEDULE 2**

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $9.21 | | | | | | | | |
| 2 | $9.84 | | | | | | | | |
| 3 | $10.50 | | | | | | | | |
| 4 | $11.22 | | | | | | | | |
| 5 | $11.98 | | | | | | | | |
| 6 | $12.79 | | | | | | | | |
| 7 | $13.68 | 1 | $16.16 | | | | | | |
| 8 | $14.59 | 2 | $17.19 | | | | | | |
| 9 | $15.58 | 3 | $18.29 | | | | | | |
| 10 | $16.64 | 4 | $19.45 | | | | | | |
| 11 | $17.77 | 5 | $20.69 | 1 | $19.41 | | | | |
| 12 | $18.98 | 6 | $22.01 | 2 | $21.86 | | | | |
| 13 | $20.26 | 7 | $23.42 | 3 | $24.62 | | | | |
| 14 | $21.64 | 8 | $24.91 | 4 | $27.72 | | | | |
| 15 | $23.11 | 9 | $26.50 | 5 | $31.22 | 1 | $28.64 | 1 | $29.73 |
| PB | 110 | | 116 | | 121 | | 121 | | 121 |

42
