## Article 13

**Effective 10/2/2005**

| Distance Between Computation Point and Job Location | | | Daily Transportation Expense Allowance (1) | Daily Miscellaneous Allowance |
| :--- | :--- | :--- | :--- | :--- |
| 0 | up to | 1 mile(s) | 0.00 | 2.00 |
| 1 | " " | 2 " | 0.00 | 2.00 |
| 2 | " " | 3 " | 0.00 | 2.00 |
| 3 | " " | 4 " | 0.00 | 2.00 |
| 4 | " " | 5 " | 0.00 | 2.00 |
| 5 | " " | 6 " | 0.00 | 3.00 |
| 6 | " " | 7 " | 0.00 | 3.55 |
| 7 | " " | 8 " | 0.00 | 4.10 |
| 8 | " " | 9 " | 0.00 | 4.70 |
| 9 | " " | 10 " | 0.00 | 5.30 |
| 10 | " " | 11 " | 0.38 | 5.60 |
| 11 | " " | 12 " | 1.13 | 5.60 |
| 12 | " " | 13 " | 1.88 | 5.60 |
| 13 | " " | 14 " | 2.63 | 5.60 |
| 14 | " " | 15 " | 3.38 | 5.60 |
| 15 | " " | 16 " | 4.13 | 5.60 |
| 16 | " " | 17 " | 4.88 | 5.60 |
| 17 | " " | 18 " | 5.63 | 6.25 |
| 18 | " " | 19 " | 6.38 | 6.25 |
| 19 | " " | 20 " | 7.13 | 6.25 |
| 20 | " " | 21 " | 7.88 | 6.25 |
| 21 | " " | 22 " | 8.63 | 6.25 |
| 22 | " " | 23 " | 9.38 | 6.25 |
| 23 | " " | 24 " | 10.13 | 6.25 |
| 24 | " " | 25 " | 10.88 | 6.25 |
| 25 | " " | 26 " | 11.63 | 6.25 |
| 26 | " " | 27 " | 12.38 | 6.25 |
| 27 | " " | 28 " | 13.13 | 6.25 |
| 28 | " " | 29 " | 13.88 | 6.25 |
| 29 | " " | 30 " | 14.63 | 6.25 |
| 30 | " " | 31 " | 15.38 | 6.25 |
| 31 | " " | 32 " | 16.13 | 6.25 |
| 32 | " " | 33 " | 16.88 | 6.25 |
| 33 | " " | 34 " | 17.63 | 6.25 |
| 34 | " " | 35 " | 18.38 | 6.25 |
| 35 | " " | 36 " | 19.13 | 6.25 |
| 36 | " " | 37 " | 19.88 | 6.25 |

65
