## Article 12

**EFFECTIVE MAY 29, 2005**

**WAGE SCHEDULE 2A**

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $8.69 | | | | | | | | |
| 2 | $9.28 | | | | | | | | |
| 3 | $9.92 | | | | | | | | |
| 4 | $10.59 | | | | | | | | |
| 5 | $11.32 | | | | | | | | |
| 6 | $12.09 | | | | | | | | |
| 7 | $12.91 | 1 | $15.26 | | | | | | |
| 8 | $13.80 | 2 | $16.25 | | | | | | |
| 9 | $14.74 | 3 | $17.30 | | | | | | |
| 10 | $15.74 | 4 | $18.43 | | | | | | |
| 11 | $16.82 | 5 | $19.52 | 1 | $18.37 | | | | |
| 12 | $17.96 | 6 | $20.89 | 2 | $20.71 | | | | |
| 13 | $19.19 | 7 | $22.25 | 3 | $23.36 | | | | |
| 14 | $20.50 | 8 | $23.59 | 4 | $26.34 | | | | |
| 15 | $21.90 | 9 | $25.23 | 5 | $29.70 | 1 | $27.17 | 1 | $28.27 |
| PB | 110 | | 115 | | 122 | | 122 | | 122 |

**EFFECTIVE MAY 28, 2006**

**WAGE SCHEDULE 2A**

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $8.91 | | | | | | | | |
| 2 | $9.52 | | | | | | | | |
| 3 | $10.17 | | | | | | | | |
| 4 | $10.86 | | | | | | | | |
| 5 | $11.60 | | | | | | | | |
| 6 | $12.39 | | | | | | | | |
| 7 | $13.24 | 1 | $15.64 | | | | | | |
| 8 | $14.14 | 2 | $16.65 | | | | | | |
| 9 | $15.11 | 3 | $17.74 | | | | | | |
| 10 | $16.14 | 4 | $18.69 | | | | | | |
| 11 | $17.24 | 5 | $20.11 | 1 | $19.83 | | | | |
| 12 | $18.42 | 6 | $21.42 | 2 | $21.23 | | | | |
| 13 | $19.67 | 7 | $22.81 | 3 | $23.94 | | | | |
| 14 | $21.02 | 8 | $24.28 | 4 | $27.00 | | | | |
| 15 | $22.45 | 9 | $25.88 | 5 | $30.44 | 1 | $27.85 | 1 | $28.98 |
| PB | 110 | | 115 | | 122 | | 122 | | 122 |

48
