## Article 12

**EFFECTIVE MAY 27, 2007**

**WAGE SCHEDULE 2A**

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $9.11 | | | | | | | | |
| 2 | $9.73 | | | | | | | | |
| 3 | $10.40 | | | | | | | | |
| 4 | $11.11 | | | | | | | | |
| 5 | $11.88 | | | | | | | | |
| 6 | $12.67 | | | | | | | | |
| 7 | $13.54 | 1 | $15.09 | | | | | | |
| 8 | $14.45 | 2 | $17.03 | | | | | | |
| 9 | $15.45 | 3 | $18.13 | | | | | | |
| 10 | $16.50 | 4 | $19.31 | | | | | | |
| 11 | $17.63 | 5 | $20.56 | 1 | $19.25 | | | | |
| 12 | $18.83 | 6 | $21.90 | 2 | $21.71 | | | | |
| 13 | $20.12 | 7 | $23.32 | 3 | $24.48 | | | | |
| 14 | $21.49 | 8 | $24.83 | 4 | $27.60 | | | | |
| 15 | $22.96 | 9 | $26.44 | 5 | $31.12 | 1 | $28.48 | 1 | $29.63 |
| PB | 110 | | 115 | | 122 | | 122 | | 122 |

**EFFECTIVE MAY 25, 2008**

**WAGE SCHEDULE 2A**

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $9.29 | | | | | | | | |
| 2 | $9.92 | | | | | | | | |
| 3 | $10.60 | | | | | | | | |
| 4 | $11.33 | | | | | | | | |
| 5 | $12.10 | | | | | | | | |
| 6 | $12.93 | | | | | | | | |
| 7 | $13.81 | 1 | $16.31 | | | | | | |
| 8 | $14.75 | 2 | $17.37 | | | | | | |
| 9 | $15.76 | 3 | $18.50 | | | | | | |
| 10 | $16.83 | 4 | $19.70 | | | | | | |
| 11 | $17.98 | 5 | $20.97 | 1 | $19.64 | | | | |
| 12 | $19.21 | 6 | $22.33 | 2 | $22.14 | | | | |
| 13 | $20.52 | 7 | $23.78 | 3 | $24.97 | | | | |
| 14 | $21.92 | 8 | $25.33 | 4 | $28.15 | | | | |
| 15 | $23.42 | 9 | $26.97 | 5 | $31.74 | 1 | $29.05 | 1 | $30.22 |
| PB | 110 | | 115 | | 122 | | 122 | | 122 |

47
