## Article 12

**EFFECTIVE MAY 27, 2007**

**WAGE SCHEDULE 2D**

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $9.54 | | | | | | | | |
| 2 | $10.18 | | | | | | | | |
| 3 | $10.88 | | | | | | | | |
| 4 | $11.59 | | | | | | | | |
| 5 | $12.37 | | | | | | | | |
| 6 | $13.20 | | | | | | | | |
| 7 | $14.08 | 1 | $16.41 | | | | | | |
| 8 | $15.02 | 2 | $17.48 | | | | | | |
| 9 | $16.03 | 3 | $18.63 | | | | | | |
| 10 | $17.11 | 4 | $19.85 | | | | | | |
| 11 | $18.25 | 5 | $21.15 | 1 | $19.78 | | | | |
| 12 | $19.48 | 6 | $22.54 | 2 | $22.29 | | | | |
| 13 | $20.78 | 7 | $24.01 | 3 | $25.12 | | | | |
| 14 | $22.17 | 8 | $25.58 | 4 | $28.31 | | | | |
| 15 | $23.68 | 9 | $27.28 | 5 | $31.91 | 1 | $29.04 | 1 | $30.47 |
| PB | 111 | | 116 | | 123 | | 123 | | 123 |

**EFFECTIVE MAY 25, 2008**

**WAGE SCHEDULE 2D**

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $9.73 | | | | | | | | |
| 2 | $10.38 | | | | | | | | |
| 3 | $11.08 | | | | | | | | |
| 4 | $11.82 | | | | | | | | |
| 5 | $12.61 | | | | | | | | |
| 6 | $13.46 | | | | | | | | |
| 7 | $14.36 | 1 | $16.74 | | | | | | |
| 8 | $15.32 | 2 | $17.84 | | | | | | |
| 9 | $16.35 | 3 | $19.00 | | | | | | |
| 10 | $17.45 | 4 | $20.25 | | | | | | |
| 11 | $18.61 | 5 | $21.58 | 1 | $20.18 | | | | |
| 12 | $19.88 | 6 | $22.99 | 2 | $22.74 | | | | |
| 13 | $21.19 | 7 | $24.50 | 3 | $25.63 | | | | |
| 14 | $22.61 | 8 | $26.10 | 4 | $28.68 | | | | |
| 15 | $24.13 | 9 | $27.81 | 5 | $32.55 | 1 | $29.62 | 1 | $31.08 |
| PB | 111 | | 116 | | 123 | | 123 | | 123 |

61
